Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
647,ucsb mining,210.42,0,0,0,0,"Sun Mar 6, 2022 - 14:54:38",User,2,ppm,Mining,,,,,,EA2110_100.0_A,1.5378,1.3232,42991.2227,370.4066,6.469,1.4682,<LOD,5.7808,310.9402,27.3972,664795.6875,1306.4968,<LOD,1.7884,29166.084,182.1979,11.6664,2.1453,11796.5381,45.73,<LOD,58.6133,287.8297,7.4081,105.3778,5.9516,23790.873,125.5154,<LOD,0,<LOD,2.9411,16625.6875,156.6118,4971.8066,801.655,34.2599,21.4638,26.9208,1.2144,<LOD,1.3199,219.9393,9.7972,8277.0928,161.7303,11.2675,1.5153,<LOD,1.7467,98.165,2.0276,<LOD,0,45114.3828,100.449,5.5398,3.8352,15.8876,1.2787,147592.9375,263.9231,5.6636,3.2073,281.8402,1.4899,<LOD,0,9.9991,1.2033,2660.6023,33.927,31.2841,1.9227,313.1074,11.6315,<LOD,11.8315,51.7985,1.1661,318.2236,7.7077,69.3236,1.4502
648,ucsb mining,211.04,0,0,0,0,"Sun Mar 6, 2022 - 15:00:26",User,2,ppm,Mining,,,,,,EA2110_100.0_B,3.165,1.3478,44083.8203,371.173,7.0973,1.4954,<LOD,5.7123,310.7151,27.3938,660929.125,1317.4912,<LOD,1.7367,29747.7051,184.5216,12.5677,2.1538,11623.0479,45.0383,<LOD,59.4725,280.9384,7.4096,111.6648,6.1053,24208.2617,127.3248,<LOD,0,<LOD,3.1119,16725.8828,157.8664,5555.25,802.0978,60.701,22.2362,25.6088,1.2173,<LOD,1.325,229.509,10.0106,8220.3301,159.9194,11.4153,1.5275,<LOD,2.9172,94.8585,2.0214,<LOD,0,44533.8828,99.0813,<LOD,8.2261,15.3838,1.2746,149344.6875,263.1614,5.8028,3.2084,284.2925,1.5079,<LOD,0,11.0957,1.2066,2746.6875,33.9136,31.8892,1.949,325.5789,11.8237,<LOD,12.1072,53.223,1.1788,338.1385,7.9584,67.6177,1.4557
649,ucsb mining,211.17,0,0,0,0,"Sun Mar 6, 2022 - 15:06:01",User,2,ppm,Mining,,,,,,EA2110_101.0_A,<LOD,3.6289,15261.6631,355.4424,1.413,1.3513,<LOD,5.952,1546.8528,42.8698,568035.125,1819.8903,<LOD,2.1433,206982.5,392.5305,<LOD,4.0138,38135.9141,91.0578,<LOD,38.3963,103.4318,7.6163,34.9427,5.1784,7130.1104,85.4305,<LOD,0,<LOD,3.0727,7762.7568,119.8911,5368.6641,1312.537,116.2506,25.838,6.879,1.2859,<LOD,1.4613,91.4673,8.1598,34652.6953,344.5767,5.2285,1.4873,<LOD,2.3151,35.0224,1.7955,<LOD,0,18877.9629,78.7765,<LOD,7.571,3.728,1.0722,93254.6484,248.0064,21.2438,4.3414,1305.0203,3.5579,<LOD,0,4.1918,1.2881,899.3365,41.4021,18.3712,2.6501,145.5065,11.4072,<LOD,0,15.7123,0.9868,103.7364,6.0015,79.6065,2.4406
650,ucsb mining,210.8,0,0,0,0,"Sun Mar 6, 2022 - 15:10:24",User,2,ppm,Mining,,,,,,EA2110_101.0_B,<LOD,2.8366,15530.4648,359.8109,3.6373,1.3054,<LOD,6.1323,1447.2845,41.4455,567496.9375,1815.6743,<LOD,2.1739,208463.5781,377.705,<LOD,3.8952,36881.1016,89.6668,<LOD,37.6496,113.3964,7.3709,32.6229,5.1153,6999.6465,84.4585,<LOD,0,<LOD,2.996,7651.23,114.3051,4813.3481,1310.3972,118.8572,25.9336,6.582,1.283,<LOD,1.4518,96.6562,8.2033,35311.4219,350.2959,<LOD,2.0573,<LOD,2.2703,34.2024,1.7801,<LOD,0,18745.5293,79.2806,<LOD,7.4033,3.7794,1.0835,93566.7344,249.8173,22.3862,4.2586,1317.4362,3.5637,<LOD,0,3.5812,1.2806,959.6913,39.7469,17.7685,2.6402,145.6477,10.9811,<LOD,0,16.108,0.9824,114.5042,6.146,85.8342,2.4628
652,ucsb mining,210.72,0,0,0,0,"Sun Mar 6, 2022 - 15:20:01",User,2,ppm,Mining,,,,,,EA2110_101.5_A,<LOD,3.1045,26614.9121,306.541,4.0188,1.3102,<LOD,5.2773,227.8464,27.103,661093.875,1261.5271,<LOD,1.8022,60613.7422,231.6984,5.0702,2.1011,16991.0215,54.4995,<LOD,46.2018,209.486,6.391,82.5084,5.5096,13993.958,101.9771,<LOD,0,<LOD,2.8627,10511.8242,120.4457,5217.2139,812.4427,<LOD,44.0985,11.8737,1.0937,<LOD,1.2118,172.7574,8.8048,2300.3379,94.1205,7.2715,1.3795,<LOD,1.7763,56.7819,1.5987,<LOD,0,33356.207,87.5954,<LOD,7.838,13.0239,1.1812,165912.375,278.1078,<LOD,6.2202,427.2427,1.8163,<LOD,0,4.844,1.0903,1615.3081,26.5296,10.6773,1.6959,203.507,9.1332,<LOD,10.9722,18.385,0.8947,273.5457,7.2424,50.408,1.4645
653,ucsb mining,210.04,0,0,0,0,"Sun Mar 6, 2022 - 15:24:11",User,2,ppm,Mining,,,,,,EA2110_101.5_B,2.8429,1.2871,27450.7402,309.4766,5.1323,1.2754,<LOD,5.3905,262.0152,25.9573,659973.25,1243.9385,<LOD,1.7373,61287.5469,234.0898,6.2633,2.0082,17164.6836,54.9359,<LOD,46.0489,208.0819,6.4361,78.5056,5.3801,14062.6133,101.0965,<LOD,0,<LOD,2.8271,10523.3467,121.208,3845.2354,794.9724,<LOD,29.5421,13.4767,1.0918,<LOD,1.196,177.2023,8.8124,2375.0146,96.0388,4.686,1.3085,<LOD,1.6734,57.8857,1.5979,<LOD,0,34044.2344,88.6664,6.0104,3.667,13.3922,1.182,165865.7031,278.6738,<LOD,6.4007,430.7171,1.8036,<LOD,0,5.1381,1.0649,1612.1813,27.3067,11.6623,1.697,203.5683,9.2605,<LOD,10.5386,19.2016,0.8914,239.7247,6.808,49.973,1.4492
654,ucsb mining,211.01,0,0,0,0,"Sun Mar 6, 2022 - 15:29:14",User,2,ppm,Mining,,,,,,EA2110_102.0_A,<LOD,2.7087,23534.6035,332.2268,6.8132,1.3995,<LOD,5.5544,293.4513,30.5811,662924.375,1381.1539,<LOD,1.8412,120081.4844,305.7678,5.0152,2.3389,22866.0234,65.4581,<LOD,47.6801,178.2809,6.7638,57.3663,5.3309,13462.8955,105.292,<LOD,0,<LOD,2.7466,12091.752,131.3788,3525.5481,962.1477,27.2874,21.8883,31.4818,1.2979,<LOD,1.3178,157.0981,8.9682,7893.8525,167.0695,4.1298,1.3859,<LOD,1.9445,57.9077,1.7987,<LOD,0,36812.8594,95.7202,<LOD,6.3977,11.1953,1.174,93210.9609,233.4548,<LOD,7.751,745.5396,2.5099,<LOD,0,5.9165,1.1616,1495.2482,28.5989,19.5183,2.1497,253.1376,10.3667,<LOD,0,15.7276,0.9409,178.9632,6.5267,51.5502,1.8023
655,ucsb mining,210.24,0,0,0,0,"Sun Mar 6, 2022 - 15:33:21",User,2,ppm,Mining,,,,,,EA2110_102.0_B,<LOD,2.5358,23891.0371,331.732,5.0164,1.4122,<LOD,5.6833,304.9651,31.5222,663386,1391.5011,<LOD,1.9632,118784.6406,304.2862,6.6065,2.4215,23431.1172,65.8349,<LOD,48.4011,192.3704,6.8271,58.3753,5.4329,13521.8701,106.8534,<LOD,0,<LOD,3.1519,12185.7891,131.6533,4325.5825,964.5537,43.1623,22.6741,31.1274,1.3157,<LOD,1.316,173.0875,9.3819,7775.7178,164.3862,6.2591,1.4545,<LOD,2.0099,59.1298,1.8421,<LOD,0,35536.4219,93.5722,<LOD,6.6122,9.4022,1.1845,93422.3047,232.3834,7.4926,3.7147,744.6404,2.5413,<LOD,0,5.6252,1.2118,1529.6652,28.1345,20.8508,2.2004,252.986,10.3144,<LOD,11.3822,16.172,0.9603,220.5887,7.1367,52.0479,1.8278
656,ucsb mining,210.79,0,0,0,0,"Sun Mar 6, 2022 - 15:37:40",User,2,ppm,Mining,,,,,,EA2110_102.5_A,2.7419,1.3506,28109.5195,326.344,5.7568,1.3086,<LOD,5.0666,230.1333,27.0541,646912.5625,1295.1879,<LOD,1.6841,72902.9688,247.5953,10.5216,2.1473,11747.1357,46.9785,<LOD,45.4123,184.9555,6.3847,60.2169,5.0185,13808.2783,100.3404,<LOD,0,<LOD,2.8342,12297.8652,128.6311,4979.8892,819.0385,<LOD,29.6616,23.4074,1.1579,<LOD,1.2369,135.0968,8.0888,5158.3408,135.1498,5.82,1.3188,<LOD,1.8359,60.9675,1.6804,<LOD,0,24098.5625,77.0492,<LOD,7.4356,9.8794,1.0922,176581.8281,291.4486,6.2584,3.2205,440.2219,1.8251,<LOD,0,7.4633,1.0939,1683.5433,28.2981,21.4789,1.8501,257.7488,9.9541,<LOD,10.2309,30.3638,0.9743,182.0573,6.1751,44.5494,1.4363
657,ucsb mining,211.03,0,0,0,0,"Sun Mar 6, 2022 - 15:43:10",User,2,ppm,Mining,,,,,,EA2110_102.5_B,5.2044,1.3955,28877.1016,329.0098,6.1179,1.3009,<LOD,5.2407,247.2095,27.2715,641813.125,1319.4119,<LOD,1.6501,72010.5391,250.8269,10.6522,2.1592,11867.998,46.906,<LOD,46.1135,193.0618,6.5385,63.132,5.136,13700.3037,101.4806,<LOD,0,<LOD,2.8469,12396.3037,131.4798,5585.7051,823.2101,<LOD,42.0515,23.0906,1.1721,<LOD,1.2401,125.3247,8.0618,4770.2397,130.3743,3.961,1.2979,<LOD,2.6859,63.0192,1.7144,<LOD,0,24238.5098,76.737,<LOD,6.8508,10.7572,1.1315,181369.5938,292.8509,<LOD,7.1777,442.4945,1.8567,<LOD,0,7.0993,1.082,1632.2747,28.692,19.7625,1.8548,247.979,9.9958,<LOD,10.301,30.6217,0.992,189.9983,6.3603,48.8356,1.4788
