Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
438,ucsb mining,210.4,29.93,29.98,29.14,114.79,"Wed Jan 11, 2023 - 17:08:06",User,2,ppm,,,,MAG_1,Mining,0,2.1977,80045.3984,649.3615,3.277,1.6259,0,4.8378,369.3457,34.5445,574266.625,3106.7817,0,2.1519,6805.9678,124.5046,0,3.4021,33432.4805,85.2247,0,76.6012,110.7832,7.4063,22.0936,4.052,40951.9336,154.8466,0,0,0,3.2239,31021.6523,232.3991,17253.7656,1269.8326,607.5898,36.0531,0,1.9582,14.6866,0.8787,61.0151,7.6749,591.1321,68.4231,31.5437,1.8061,0,1.9194,178.4938,2.2474,0,0,3422.9424,34.6762,0,6.5233,0,1.2803,206427.4375,348.3411,9.3639,3.651,127.4925,1.1555,0,0,17.7868,1.409,3831.7566,46.9679,0,3.9435,144.2855,13.1368,0,0,19.2207,1.1159,115.4286,5.4006,116.5228,1.5972
441,ucsb mining,211.51,0,29.75,29.77,28.74,"Wed Jan 11, 2023 - 17:20:09",User,2,ppm,,,,MAG_1,Mining,0,2.1938,85319.9297,666.1205,3.7222,1.5936,0,4.8074,385.3142,34.3166,555339.25,3241.3621,0,1.9074,7364.2563,125.9465,0,3.3506,35016.5156,86.562,0,76.039,116.0915,7.3848,27.1788,4.1468,40825.8711,154.4418,0,0,0,4.2874,32245.7344,235.5598,19700.5293,1295.7168,603.8599,35.9183,0,1.8915,14.1954,0.8835,59.2531,7.539,571.9243,68.3955,29.5174,1.7541,0,1.9083,175.3458,2.226,0,0,3654.3486,34.8071,0,6.4539,0,1.4776,214109.5469,348.7374,8.0755,3.6061,129.119,1.1572,0,0,15.5859,1.3555,3896.5913,46.5236,3.4002,1.7579,131.385,12.984,0,0,19.1572,1.1041,119.2946,5.427,114.9731,1.5819
444,ucsb mining,210.05,0,29.58,29.72,28.98,"Wed Jan 11, 2023 - 17:32:13",User,2,ppm,,,,MAG_1,Mining,0,2.2001,84457.0234,664.7892,3.026,1.5707,0,4.847,362.4702,34.4284,560905.25,3165.4319,0,1.8171,7187.395,125.573,0,3.3989,34279.2734,86.2473,0,75.5486,112.0559,7.4111,23.9569,4.0438,40688,153.0312,0,0,2.5749,1.924,31843.2012,235.1964,17806.375,1277.3641,621.2234,35.9113,0,1.4701,14.2101,0.876,61.57,7.5904,573.0095,69.2287,29.9046,1.7472,0,1.8897,177.964,2.2232,0,0,3479.1672,34.6262,0,6.4489,0,1.5967,212996.2344,350.9091,0,6.7942,126.6688,1.1385,0,0,15.5258,1.3242,3828.8271,46.915,2.9627,1.7415,145.6809,13.1662,0,0,18.3374,1.0941,122.8619,5.4388,115.2814,1.5692
447,ucsb mining,211.08,0,29.76,28.79,29.9,"Wed Jan 11, 2023 - 17:44:10",User,2,ppm,,,,MAG_1,Mining,0,2.1717,88325.6797,680.9518,3.0138,1.5707,4.6915,3.2659,379.1205,34.2462,550091,3266.894,0,1.8198,7061.0054,126.9844,0,3.3598,34652.6875,86.4858,0,75.6367,112.2432,7.5192,25.9195,4.079,40838.8516,153.0468,0,0,0,2.7454,31398.7832,237.3678,20070.3691,1303.2904,634.378,36.087,0,1.4606,13.4064,0.8689,61.2332,7.6175,648.9043,69.6572,30.128,1.7479,0,1.8926,176.0416,2.2111,0,0,3580.1238,34.9542,0,6.4303,0,1.2915,217531.7812,351.9739,6.6326,3.5972,128.199,1.1423,0,0,17.566,1.3517,3806.228,47.7174,3.8578,1.7509,145.2673,13.3555,0,0,18.856,1.0926,118.0532,5.3576,115.9967,1.572
459,ucsb mining,210.01,0,29.67,29.24,29.32,"Wed Jan 11, 2023 - 18:34:41",User,2,ppm,,,,MAG_1,Mining,0,2.1199,87578.4297,686.9905,4.2192,1.5586,0,4.7326,363.5166,33.8864,552647.9375,3263.4917,0,1.8523,6880.936,126.161,0,3.3339,33795.1562,86.2197,0,75.0825,114.0727,7.4908,26.3426,4.0855,40807.5898,152.5123,0,0,0,4.1832,31269.584,235.5092,19919.1328,1313.8231,584.2065,35.1139,0,1.495,13.7683,0.8687,66.8397,7.6192,725.5307,70.6463,27.4803,1.7055,0,1.8758,175.6287,2.2045,0,0,3441.5811,35.0842,0,6.3549,0,1.3116,217253.5156,355.3713,5.9342,3.5663,128.8345,1.1418,0,0,17.5239,1.3554,3758.6719,47.4049,4.6252,1.7686,137.2336,13.1595,0,9.7536,16.8895,1.074,120.9057,5.4067,113.943,1.5585
378,ucsb mining,211.31,29.72,29.5,29.31,115.75,"Fri Dec 9, 2022 - 16:43:08",User,2,ppm,,,,MAG_1,Mining,0,2.1855,79224.7812,649.5677,1.9302,1.574,7.3622,3.4083,361.597,34.6491,573496.4375,3126.3093,0,1.7542,6881.3813,128.4198,0,3.4196,33804.9492,85.3453,0,75.9488,108.6515,7.5786,27.2963,4.1359,41232.0508,153.4571,0,0,0,4.4509,30902.9004,237.9864,18890.4297,1291.8198,640.7744,36.3377,0,1.4799,14.4806,0.8821,59.4479,7.5639,631.6225,67.5937,31.4114,1.7829,0,1.9324,179.0111,2.2341,0,0,3289.2278,34.0488,0,6.4996,0,1.3094,205941.9219,346.865,0,8.5718,129.9107,1.1534,0,0,20.2818,1.3777,3713.4851,48.1795,3.2426,1.7565,148.5523,13.4604,0,0,18.3051,1.0987,119.2547,5.4047,119.3342,1.597
381,ucsb mining,210.82,0,29.62,29.51,29.36,"Fri Dec 9, 2022 - 16:55:13",User,2,ppm,,,,MAG_1,Mining,0,2.4733,82583.1875,658.4504,4.1899,1.5505,4.9587,3.2658,344.0238,34.0074,566977.125,3120.2371,0,1.7886,6998.877,125.169,0,3.3651,33922.0898,85.3956,0,75.1457,109.9783,7.3921,22.9001,3.9843,41042.7891,151.9723,0,0,2.1368,1.9058,31633.3027,235.5245,18493.5996,1283.2904,609.5671,35.4038,0,1.4553,14.5325,0.8677,62.5003,7.5632,539.8237,68.5093,27.7854,1.6907,0,1.9117,179.2815,2.2084,0,0,3384.3591,34.1105,0,6.4291,0,1.292,208648.125,347.443,9.831,3.6117,127.6396,1.1323,0,0,15.5982,1.309,3838.8262,46.9591,1.9795,1.7048,142.6459,13.1689,0,0,16.685,1.0739,122.7859,5.3913,118.8929,1.5732
384,ucsb mining,210.85,0,29.18,28.96,29.16,"Fri Dec 9, 2022 - 17:07:09",User,2,ppm,,,,MAG_1,Mining,0,2.1515,82785.7266,655.5115,4.2371,1.5771,0,4.6789,351.7209,33.5831,567202.8125,3173.4978,0,1.8711,7119.9995,129.7629,0,3.3388,32096.8574,82.534,0,76.2678,106.035,7.5995,24.555,4.0861,41158.7578,154.4,0,0,0,3.905,31293.7637,241.9932,20348.4609,1290.3619,622.5504,36.1139,0,1.6897,13.3946,0.8735,63.3125,7.6542,595.3505,67.9172,27.6822,1.7226,0,1.8879,177.4108,2.2335,0,0,3302.595,33.5528,0,6.3478,0,2.1465,208337.9375,346.1951,0,7.599,127.6927,1.15,0,0,15.6341,1.3445,3818.1367,48.5688,2.8785,1.7412,147.295,13.647,0,0,16.814,1.0887,120.7122,5.4412,117.6442,1.5921
387,ucsb mining,210.25,0,29.23,29.39,28.86,"Fri Dec 9, 2022 - 17:19:39",User,2,ppm,,,,MAG_1,Mining,0,2.1672,85424.2734,673.5649,3.7743,1.6024,0,4.7509,361.3973,33.8343,559428.5625,3259.7659,0,2.0734,6852.0122,130.822,0,3.3373,33091.332,84.8495,0,76.4675,109.3207,7.7647,25.4038,4.1395,40839.8516,155.1779,0,0,0,4.044,30796.3613,243.298,20699.5195,1310.691,622.8256,36.43,0,1.4813,13.6417,0.8844,68.6046,7.7664,626.0513,68.6514,29.3803,1.7617,0,1.9072,175.236,2.2413,0,0,3385.4028,34.4305,0,6.3623,0,1.3626,213231.9688,352.44,0,5.6085,125.7527,1.1496,0,0,15.6455,1.3722,3681.5862,49.7527,4.3317,1.7863,134.5556,13.679,0,0,18.0806,1.1026,118.3747,5.4438,116.7684,1.5972
398,ucsb mining,210.67,0,29.6,29.21,28.76,"Fri Dec 9, 2022 - 18:04:27",User,2,ppm,,,,MAG_1,Mining,0,2.298,88351.8906,687.6727,3.1655,1.5818,6.2817,3.3806,372.0249,34.5433,550996.75,3324.6965,0,1.8706,6622.7661,126.6135,0,3.3994,33387.8945,85.09,0,76.207,109.0591,7.5583,20.9854,4.0115,41089.3047,154.7928,0,0,0,2.7295,30940.8125,236.7898,22192.9258,1330.9385,588.3603,35.6022,0,1.8149,13.0833,0.8759,72.544,7.7933,677.9037,70.2059,29.6393,1.7546,0,1.9659,174.5661,2.23,0,0,3434.0725,34.6774,0,6.5371,0,1.3328,216636.9219,352.9221,8.2867,3.6395,128.6705,1.1558,0,0,16.1776,1.3537,3722.9795,48.5964,5.1565,1.7994,139.7452,13.3839,0,0,17.8433,1.094,123.4681,5.4869,116.7269,1.5911
