Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
585,ucsb mining,210.76,0,28.93,29.44,29.1,"Fri Jan 20, 2023 - 21:35:10",User,2,ppm,,,,SCO_1,Mining,0,2.1215,66740.1953,523.3696,5.8488,1.6095,0,4.343,371.3677,31.916,637882.3125,2532.3794,0,1.7505,14098.3047,139.9672,0,3.1761,0,23.257,0,63.9478,72.8978,5.8817,26.7463,3.982,28465.5215,132.4132,0,0,0,2.9054,21623.2832,176.423,12325.6992,968.0421,300.0113,28.8057,0,1.4771,9.7085,0.8201,33.6871,6.4959,567.5988,64.349,31.5848,1.7024,0,1.8021,114.6539,1.7853,0,0,664.4282,20.5297,0,5.9945,0,1.1748,213334.2188,342.3097,0,8.2472,152.8386,1.2128,0,0,9.5246,1.1571,2791.9807,36.9628,3.3756,1.6737,108.3355,10.2472,0,9.0457,20.5807,0.9882,88.0478,4.8285,157.2539,1.7302
590,ucsb mining,210.43,0,28.95,29.5,29.22,"Fri Jan 20, 2023 - 21:56:24",User,2,ppm,,,,SCO_1,Mining,0,3.089,70068.6719,548.7419,5.6749,1.5902,0,4.4943,390.0906,31.7964,622794.3125,2682.8679,0,1.785,14356.3242,141.0888,0,3.1998,0,23.6564,0,81.1837,77.7789,5.9421,21.7497,3.8585,28373.8301,132.5392,0,0,0,2.6138,21842.4219,176.6356,15475.6787,1033.2291,281.0391,28.2337,0,1.4801,10.0781,0.8248,30.568,6.4677,601.5829,65.6621,30.4592,1.6816,0,1.8247,113.8009,1.7896,0,0,737.5154,21.2182,0,5.979,0,1.1816,221393.9844,349.6158,11.474,3.3517,153.3455,1.2161,0,0,8.2448,1.1473,2827.3428,36.86,5.2701,1.7193,121.6788,10.3664,0,0,19.5837,0.9798,88.1999,4.8137,159.2584,1.7402
595,ucsb mining,211.21,0,29.21,29.53,28.75,"Fri Jan 20, 2023 - 22:17:11",User,2,ppm,,,,SCO_1,Mining,1.8977,1.3914,73086.7656,557.5912,5.8107,1.6212,0,4.3306,364.1029,31.8581,614462.0625,2713.7874,0,1.8481,13826.5469,141.8681,0,3.192,0,23.6895,0,64.1647,78.4159,6.0492,24.1219,3.8947,28864.3574,132.7528,0,0,0,2.8192,21718.1758,178.9739,14919.0732,1022.4401,310.502,28.7768,0,1.4681,10.1901,0.8201,28.2314,6.3671,650.1617,67.2582,32.7903,1.7178,0,1.7966,113.9388,1.7773,0,0,774.0493,21.5335,0,6.0151,0,1.186,227358.0312,351.6501,5.5455,3.3462,152.8224,1.2096,0,0,8.4194,1.17,2808.7869,37.3875,3.7998,1.6722,124.5,10.5329,0,9.1384,20.5398,0.9837,93.1241,4.8885,153.1747,1.7083
608,ucsb mining,211.37,0,29.7,28.93,28.94,"Fri Jan 20, 2023 - 23:11:41",User,2,ppm,,,,SCO_1,Mining,0,2.1549,69652.6094,534.9832,4.5232,1.6117,0,4.3778,336.6195,31.67,628242.5625,2631.5945,0,1.8189,13345.4248,139.0275,0,3.1673,0,23.7497,0,64.8327,78.8515,5.9875,23.2052,3.9291,28930.2891,134.757,0,0,0,3.0982,21112.1211,175.3968,14010.3301,992.7487,303.454,29.0516,0,1.4906,9.6229,0.8288,30.6113,6.4165,675.3251,66.8379,32.7102,1.7338,0,1.8098,113.7998,1.8069,0,0,799.8655,21.5873,0,5.9899,0,1.159,219033.0469,345.3488,0,7.2281,151.3574,1.2213,0,0,7.8678,1.1604,2737.3115,37.4782,5.0464,1.7315,101.2261,10.2238,0,9.4072,19.1816,0.9873,90.5545,4.9174,152.5054,1.7281
630,ucsb mining,210.1,0,29.21,29.43,28.99,"Sat Jan 21, 2023 - 00:40:26",User,2,ppm,,,,SCO_1,Mining,0,2.6298,70934.6719,551.16,4.9353,1.5855,0,4.3702,361.2517,31.8691,621219.25,2650.6558,0,1.7816,13678.0176,142.4295,0,3.1707,0,24.4279,0,63.5023,88.1668,6.1591,21.1683,3.7979,28927.8047,131.3846,0,0,0,3.7432,21218.5625,178.2285,14099.3496,1012.5853,318.9023,28.7256,0,1.8493,9.4246,0.8117,36.4307,6.4528,715.4713,68.5687,32.847,1.6978,0,1.7841,113.2346,1.7644,0,0,797.5935,21.9444,0,6.01,0,1.1383,224140.875,350.945,0,8.1849,154.5149,1.2034,0,0,8.4681,1.1435,2725.1533,37.4713,6.0922,1.7206,116.696,10.45,0,0,21.1387,0.978,90.8645,4.7868,159.1211,1.7164
639,ucsb mining,211.05,0,29.29,29.03,29.65,"Sat Jan 21, 2023 - 01:15:26",User,2,ppm,,,,SCO_1,Mining,0,2.4491,71788.9141,559.549,5.9563,1.6064,0,4.2785,351.5255,31.7037,616172.625,2737.7222,0,1.8539,13698.0879,140.2827,0,3.1568,0,24.2649,0,64.1789,84.1049,6.0333,20.7219,3.8329,28530.0762,132.8607,0,0,0,2.5907,21115.5273,174.8938,15833.1797,1043.752,294.169,28.5749,0,1.5596,10.8524,0.8296,27.6847,6.3528,712.1223,68.2045,31.0279,1.6914,0,1.782,115.3525,1.7988,0,0,764.8776,21.7233,0,5.9668,0,1.1457,227158.5156,353.3281,7.6624,3.3519,153.6998,1.2195,0,0,7.0626,1.1534,2725.9785,37.017,4.3654,1.6984,121.8603,10.3487,0,0,19.4519,0.9824,87.548,4.8095,157.1239,1.7337
671,ucsb mining,210.76,0,28.99,28.96,29.47,"Sat Jan 28, 2023 - 16:02:09",User,2,ppm,,,,SCO_1,Mining,0,2.4817,73799.3125,562.4186,5.0891,1.7049,0,4.6881,366.1796,31.8715,608975.9375,2898.1172,0,1.8621,13820.1396,146.3148,0,3.2103,0,23.5274,0,67.3365,81.1439,6.234,21.6775,4.0619,28748.6465,140.2778,0,0,0,3.1985,21827.8496,184.6441,16962.5332,1052.6932,294.6961,30.1063,0,1.7296,10.2717,0.8725,32.3177,6.66,736.7914,68.424,33.4333,1.8216,0,1.7809,114.5077,1.8922,0,0,749.7155,21.5621,0,5.9905,0,1.2082,230035.25,355.3305,10.0259,3.3698,151.797,1.2762,0,0,7.8284,1.1992,2829.7454,38.4016,5.4102,1.8161,112.7513,10.7101,0,0,21.3932,1.0493,88.6905,5.0792,156.896,1.8227
675,ucsb mining,210.63,0,28.96,29.88,29.36,"Sat Jan 28, 2023 - 16:18:29",User,2,ppm,,,,SCO_1,Mining,0,2.0306,76135.0703,569.8589,5.5194,1.6773,0,4.503,374.768,31.7477,602810.6875,2894.1699,0,1.8238,13570.8467,141.5519,0,3.138,0,23.7703,0,66.6574,82.7732,6.1127,22.4807,4.012,28714.8145,138.2565,0,0,0,2.7084,21503.8555,178.3653,16480.9941,1044.5845,307.093,30.0259,0,1.7633,9.472,0.8527,26.184,6.5165,734.1861,68.7556,32.5082,1.7814,0,1.7859,113.8941,1.864,0,0,756.3867,21.5609,0,5.9425,0,1.1808,235021.6094,356.5789,6.3196,3.3316,152.6121,1.261,0,0,8.8724,1.1943,2753.4004,37.9357,6.2742,1.8089,110.2615,10.4229,0,0,20.1503,1.0228,86.3517,4.9653,152.6538,1.7794
680,ucsb mining,210.26,0,29.4,28.57,29.35,"Sat Jan 28, 2023 - 16:38:32",User,2,ppm,,,,SCO_1,Mining,0,2.8822,76118.1719,574.1707,5.1468,1.6356,0,4.2823,386.4101,32.0024,601949.0625,2870.1443,0,1.7662,13495.2207,146.3862,0,3.1747,0,24.4812,0,64.8304,88.5925,6.3624,22.4782,3.9297,28581.6426,134.8077,0,0,2.554,1.8747,21148.4844,182.882,17504.8223,1064.4435,285.4376,28.7777,0,1.4992,8.6752,0.8256,35.9358,6.5435,805.32,70.1484,32.9037,1.747,0,1.7999,112.2827,1.8104,0,0,863.8771,22.4318,0,5.9896,0,1.133,235230.75,358.0476,9.1755,3.3641,153.1864,1.2334,0,0,9.611,1.1724,2761.342,39.0028,6.558,1.7834,118.9855,10.8297,0,0,19.2069,0.9887,88.7044,4.8854,155.506,1.75
686,ucsb mining,210.5,0,29.38,29.54,29.62,"Sat Jan 28, 2023 - 17:03:26",User,2,ppm,,,,SCO_1,Mining,0,2.1158,77101.9141,581.069,5.9114,1.6578,0,4.4986,364.2093,33.0756,597294.9375,2962.1428,0,1.7965,13584.3857,142.419,0,3.2559,0,25.2803,0,66.0141,89.2662,6.1764,18.2189,3.9119,28643.6934,138.236,0,0,0,3.5239,21375.4824,178.497,17764.2617,1074.5092,280.5977,29.3983,0,1.536,10.6386,0.8632,34.1315,6.5057,803.1315,70.3617,30.5411,1.747,0,1.8751,113.7574,1.8668,0,0,907.2379,22.8566,0,6.1958,0,1.1883,238174.6719,360.6519,0,6.9358,152.8136,1.2626,0,0,8.7865,1.1827,2845.3252,37.7863,6.8785,1.8281,120.2467,10.5579,0,0,19.814,1.0198,91.7903,5.0534,157.346,1.8007
697,ucsb mining,210.45,0,29.92,29.28,29.84,"Sat Jan 28, 2023 - 17:50:18",User,2,ppm,,,,SCO_1,Mining,0,2.0441,75950.7812,580.5305,5.6861,1.6313,0,4.5287,387.5491,31.8909,601856.625,2908.8901,0,2.551,13592.9463,143.1904,0,3.1842,0,25.1656,0,66.0478,81.5533,6.1559,23.9884,4.0508,28715.4004,137.3958,0,0,0,2.8731,21057.1426,177.8073,16206.5205,1059.9868,298.3251,29.7156,0,1.5336,10.5619,0.8568,38.7383,6.7,813.4596,71.9245,29.4404,1.7225,0,1.8207,114.9435,1.8597,0,0,751.3719,22.0661,0,5.9613,0,1.2,236741.8906,362.0376,9.9541,3.355,152.5618,1.2539,0,0,8.5499,1.2296,2763.6304,38.2796,5.7934,1.79,114.9817,10.5449,0,0,20.5449,1.0213,89.5345,4.994,157.5149,1.7909
719,ucsb mining,211.82,0,29.47,28.65,28.46,"Sat Jan 28, 2023 - 19:20:00",User,2,ppm,,,,SCO_1,Mining,0,2.5472,74781.4062,563.3359,5.6101,1.6682,0,4.4573,377.8166,32.4763,606640.3125,2917.3508,0,1.8863,13178.8242,145.2081,0,3.2322,0,24.0327,0,67.1522,86.1443,6.3146,20.6326,4.0176,28746.5859,139.8557,0,0,0,3.0728,20674.9375,181.5506,17072.7363,1046.924,277.4412,29.5538,0,1.5567,9.8719,0.8638,29.8031,6.5995,828.6367,70.2472,30.2892,1.7651,0,1.8447,113.557,1.8805,0,0,808.5864,21.987,0,6.0825,0,1.1935,233024.0781,355.4494,0,7.3277,154.5816,1.2837,0,0,9.4814,1.2297,2745.332,38.8576,5.4462,1.8146,115.2916,10.7712,0,9.5944,19.0757,1.0251,87.8911,5.073,155.6401,1.8155
737,ucsb mining,211.22,0,29.22,29.48,29.32,"Wed Feb 1, 2023 - 08:53:51",User,2,ppm,,,,SCO_1,Mining,0,2.0168,73675.1641,556.3026,4.8272,1.6317,0,4.5054,373.751,31.6625,607473.125,2781.9617,0,1.8335,14185.8115,145.2939,0,3.1186,0,24.4963,0,65.0252,94.8358,6.2781,19.0683,3.8346,28536.6211,134.8188,0,0,0,2.7321,21578.8242,181.1658,15007.207,1019.9293,265.931,28.2825,0,1.4919,10.089,0.8337,27.1023,6.407,677.381,68.4887,33.0208,1.7506,0,1.7466,113.0083,1.8022,0,0,890.0767,22.2287,0,5.9428,0,1.1849,233582.5469,354.726,9.0452,3.337,153.8558,1.2365,0,0,8.3974,1.1753,2900.3545,38.2553,3.1704,1.6897,113.2005,10.6556,0,0,21.2026,1.0055,88.305,4.8808,154.0489,1.7446
742,ucsb mining,210.35,0,29.61,29.9,28.76,"Wed Feb 1, 2023 - 09:13:57",User,2,ppm,,,,SCO_1,Mining,0,2.0343,75834.2188,572.9786,6.275,1.6687,0,4.4817,383.0746,32.1279,602047.5,2899.0237,0,1.8935,13750.4922,143.4141,0,3.1724,0,25.2332,0,66.3589,84.8074,6.1716,21.9671,4.018,28389.668,138.0247,0,0,0,3.6279,21496.4512,179.9425,16184.6006,1050.984,310.1434,30.0243,0,1.5332,9.783,0.8539,36.1776,6.7418,739.8674,69.0955,30.3638,1.7526,0,1.7883,113.0001,1.8538,0,0,912.5991,22.7609,0,5.9832,0,1.2586,236260.2812,360.8603,11.1453,3.3892,153.9037,1.268,0,0,8.5936,1.2099,2827.5134,37.9963,4.6427,1.7741,115.6856,10.572,0,10.0226,20.7565,1.0267,88.348,5.0268,158.1303,1.8066
