Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
129,Mining,211.15,29.96,29.41,29.99,115.92,"Thu Nov 4, 2021 - 18:27:08",User,2,ppm,Mining,,,sdar-L2_1,,,,7.9848,1.5379,71332.8906,513.4214,8.1199,3.2513,0,5.1437,776.5809,32.2558,506289,1659.0427,0,2.1149,5526.334,98.789,0,3.2796,0,23.2845,0,55.0338,75.2453,5.7113,44.5026,4.6227,19991.6992,116.6506,0,0,0,2.7106,35070.7109,217.3824,3576.1628,691.4021,563.0276,32.6214,0,1.8681,54.4036,1.1888,0,8.6506,630.6299,62.9967,171.1884,3.4729,0,1.9292,129.877,2.115,0,0,757.4967,22.7255,13.624,4.2001,1.5245,0.9102,351083,368.3416,19.8728,3.5736,145.0299,1.0944,0,0,21.8686,1.6063,2824.6812,37.7695,0,2.0011,41.2545,9.5555,0,0,59.9031,1.3071,194.3213,6.4009,589.0706,3.0398
133,Mining,210.24,29.09,29.53,29.04,116.5,"Fri Nov 5, 2021 - 10:59:33",User,2,ppm,Mining,,,Sdar-L2_1,,,,0,3.3983,61984.7109,483.0082,5.1738,3.338,0,5.1788,781.8111,32.3531,537633.75,1594.6737,0,2.2088,5260.2993,99.2164,0,3.2751,0,23.1143,0,56.065,67.2692,5.7819,44.5031,4.7729,20252.9805,119.9992,0,0,0,2.7535,34615.5156,221.3,2892.2019,677.0615,529.7751,32.7769,0,1.9473,57.2547,1.2359,13.9815,6.0997,567.9948,61.4637,176.5599,3.5922,0,1.8638,129.6766,2.1669,0,0,697.2883,22.392,11.4749,4.2005,0,1.2094,330296.375,365.3286,14.059,3.5522,145.8102,1.1247,0,0,18.3356,1.6205,2905.7126,38.9976,0,2.0542,43.476,9.8913,0,0,57.9757,1.3337,187.0793,6.4851,608.8353,3.1602
142,Mining,210.9,29.63,29.66,28.92,117.36,"Fri Nov 5, 2021 - 11:37:59",User,2,ppm,Mining,,,Sdar-L2_10,,,,0,2.9627,70535.9922,509.6474,8.6191,3.2285,0,4.8558,761.8648,32.0463,506788.5625,1657.4238,0,2.0514,5554.6069,97.8993,0,3.2333,0,23.1677,0,54.8564,78.7269,5.735,46.2255,4.6567,20119.5195,116.6129,0,0,0,3.0733,35368.582,218.8496,3926.2905,697.2537,529.6992,31.8054,0,1.8674,55.5354,1.19,8.9704,5.9222,607.5325,62.9603,169.5348,3.4328,0,1.8725,129.051,2.1022,0,0,789.5063,22.7262,14.0034,4.1876,0,1.1692,350468,366.8763,13.8106,3.5281,145.156,1.0923,0,0,19.638,1.5568,2962.6182,37.8755,0,1.9923,60.0649,9.8424,0,9.8188,57.4831,1.2906,186.048,6.313,594.4291,3.0435
134,Mining,211.22,29.97,29.86,29.58,115.04,"Fri Nov 5, 2021 - 11:03:34",User,2,ppm,Mining,,,Sdar-L2_2,,,,1.5791,1.4052,64495.0977,492.2094,0,4.8584,0,4.9972,795.7108,31.5786,529642.25,1599.094,0,2.1648,5436.5615,95.9839,0,3.1896,0,23.0779,0,55.8823,77.2987,5.6405,46.335,4.7322,20284.0605,118.4469,0,0,0,3.0117,34954.2109,214.9682,2757.1863,677.2698,570.7062,33.0204,0,1.9072,56.262,1.2113,10.3517,6.0866,561.6932,61.8119,173.3024,3.5085,0,1.8515,132.2598,2.1553,0,0,730.2562,22.4816,12.5283,4.0942,0,1.202,335205.125,365.1889,16.7281,3.4679,145.6438,1.1082,0,0,14.9058,1.5495,2970.2126,37.1626,0,2.0359,53.0791,9.6155,0,9.9386,56.9974,1.3112,192.9504,6.4828,603.6487,3.1027
130,Mining,211.24,29.12,29.75,29.97,115.67,"Thu Nov 4, 2021 - 18:36:23",User,2,ppm,Mining,,,sdar-L2_2,,,,7.8586,1.4992,71801.3672,512.9887,5.4282,3.2934,0,5.2107,778.8049,31.4995,504461.375,1690.5698,0,2.2506,5596.353,98.6533,0,3.1992,0,22.963,0,55.6597,76.4436,5.6858,41.939,4.6717,20013.5293,118.8806,0,0,0,2.9771,35098.0391,217.3773,4331.9478,702.8717,574.5807,33.3424,0,1.8982,54.1962,1.2107,18.7058,6.2185,662.9047,63.2535,173.0187,3.5457,0,1.8506,128.6914,2.1527,0,0,739.9261,22.5276,13.9966,4.101,0,1.3683,351506.6875,368.1974,16.622,3.4722,147.0529,1.1215,0,0,18.4144,1.6243,2846.9521,37.3605,0,3.1449,49.5006,9.5867,0,10.3234,61.0779,1.3358,190.457,6.4952,584.1656,3.0836
135,Mining,210.38,29.54,29.05,28.78,115.73,"Fri Nov 5, 2021 - 11:07:21",User,2,ppm,Mining,,,Sdar-L2_3,,,,3.1376,1.4434,66673.6641,495.4587,5.8014,3.322,0,5.0441,808.3331,31.9688,520316.0938,1621.6536,0,2.1424,5928.6602,97.8615,0,3.2419,0,23.2788,0,56.5198,76.6692,5.6622,48.4475,4.8321,20198.2188,119.9109,0,0,0,3.1083,35913.1602,218.6827,1861.9586,656.9152,566.794,33.3679,0,1.9341,56.844,1.2293,0,13.8963,570.2136,62.092,174.1398,3.5676,0,1.8795,133.4127,2.1888,0,0,786.955,22.6822,13.5024,4.1398,0,1.2102,341738.4688,366.3298,15.5783,3.4979,146.5338,1.1267,0,0,18.2824,1.5988,3046.6604,37.8147,0,2.0348,47.0756,9.7205,0,10.0448,56.0987,1.3261,190.3557,6.5402,604.8367,3.1494
131,Mining,210.83,29.34,29.92,29.23,116.78,"Thu Nov 4, 2021 - 18:40:24",User,2,ppm,Mining,,,sdar-L2_3,,,,9.124,1.496,71832.0078,511.73,0,4.9714,0,5.268,759.1409,30.9567,504613.5625,1699.2668,0,2.1499,5480.0181,100.2901,0,3.1334,0,22.9046,0,56.2352,75.5536,5.7737,46.7227,4.813,19936.6465,119.9107,0,0,0,3.1473,35011.8906,221.3372,4153.8823,697.748,549.6883,33.1561,0,1.9221,54.3527,1.2218,13.8093,6.1805,638.8491,62.907,174.9505,3.6004,0,1.7956,130.1172,2.1841,0,0,752.1446,22.4734,10.2609,4.0276,0,1.5876,351826.5625,369.2505,8.5087,3.3904,143.7009,1.1211,0,0,19.4465,1.6185,2874.6814,37.6483,0,3.047,49.7067,9.7231,0,10.1761,58.412,1.3381,187.445,6.5238,585.8307,3.1178
132,Mining,210.25,29.66,28.62,29.01,116.66,"Thu Nov 4, 2021 - 18:49:37",User,2,ppm,Mining,,,sdar-L2_4,,,,8.1319,1.5016,72674.0469,513.2271,7.3571,3.3181,0,5.4248,777.2187,31.4543,504373.5625,1698.3275,0,2.2094,5520.8569,101.0904,0,3.2103,0,23.0591,0,69.2282,74.7967,5.8404,50.2927,4.899,19777.8457,119.7885,0,0,0,2.7418,35068.0938,223.337,3725.4363,688.2867,520.9966,32.7243,0,1.9225,55.1376,1.2274,11.5814,6.2402,648.3666,63.6079,168.4385,3.5504,0,1.8768,130.7372,2.1867,0,0,752.931,22.4746,15.6132,4.1044,1.2267,0.9364,351738.4375,370.2303,16.1915,3.4652,144.3831,1.1253,0,0,20.2017,1.6421,2825.6328,38.3687,0,2.0638,56.606,9.9131,0,0,58.7858,1.3409,190.5987,6.5502,586.5103,3.1251
136,Mining,210.48,28.97,29.31,28.62,117.43,"Fri Nov 5, 2021 - 11:11:14",User,2,ppm,Mining,,,Sdar-L2_4,,,,0,2.1443,67847.0234,500.834,5.8805,3.2893,0,5.2784,759.3355,32.2854,514833.375,1656.0541,0,2.2165,5955.6494,98.521,0,3.267,0,23.0843,0,66.7192,81.8943,5.7211,48.7601,4.8313,20222.8848,119.7263,0,0,0,3.0679,36211.8086,220.3162,3569.5164,692.0596,559.5973,33.186,0,1.9329,57.0771,1.2279,8.9229,6.1673,561.3436,61.757,170.9081,3.53,0,1.9107,130.5982,2.1614,0,0,776.5075,22.4859,8.4647,4.1933,0,1.2437,344028.8125,366.8995,14.7223,3.5616,146.8918,1.1254,0,0,17.2549,1.6025,3072.4458,37.4956,0,2.0071,57.8784,9.8127,0,10.0101,57.4001,1.3251,190.8989,6.531,604.1125,3.1413
137,Mining,211.06,28.99,29.57,29.13,115.62,"Fri Nov 5, 2021 - 11:15:39",User,2,ppm,Mining,,,Sdar-L2_5,,,,0,2.5907,68701.2266,505.6419,4.8256,3.3042,0,5.2835,789.2937,31.8904,510981.4375,1650.1139,0,2.1754,5943.0669,98.0876,0,3.2489,0,23.2901,0,56.174,78.7092,5.6964,51.2966,4.8535,20271.1816,118.8744,0,0,0,2.6602,36118.3398,219.1915,2695.7959,678.1813,522.2639,32.1898,0,1.9189,57.0366,1.2179,10.2199,6.1052,583.2382,62.3494,177.1925,3.5608,0,1.8584,132.3081,2.1529,0,0,811.7376,22.898,11.0432,4.1371,0,1.2474,347937.75,367.6602,16.6745,3.5111,145.8162,1.1132,0,0,16.6746,1.5807,3033.8105,37.5855,0,1.95,56.468,9.7786,0,0,57.5277,1.3197,190.8138,6.4597,604.2872,3.1183
