Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
116,Mining,211.54,29.06,28.99,28.97,118.63,"Thu Nov 4, 2021 - 17:04:41",User,2,ppm,Mining,,,,,,sdar-M2_1,14.8799,1.5897,76001.8906,514.6063,32.2637,6.6204,0,6.2738,930.6066,32.2109,512922.9062,1680.3708,0,3.1801,4248.7666,93.1017,0,3.2461,0,23.2075,0,48.2341,85.3395,5.6059,231.4499,7.7014,14622.5312,104.4744,0,0,0,3.4605,41926.5898,231.493,4687.9844,696.6856,807.6936,37.2716,0,1.6558,18.2514,0.96,34.4646,6.3756,583.1941,60.3321,758.2421,7.0126,0,1.8245,157.4005,2.3412,0,0,1912.0011,28.2134,90.0397,4.4875,0,1.5578,337321.9375,360.1901,17.4436,3.477,140.078,1.0918,0,0,9.0238,2.1475,1395.6188,31.9573,0,2.322,31.4644,7.8246,0,12.438,32.2701,1.382,728.6841,11.1304,257.1049,2.1468
124,Mining,210.05,29.89,29.75,28.6,116.01,"Thu Nov 4, 2021 - 18:01:41",User,2,ppm,Mining,,,,,,sdar-M2_10,14.6657,1.5881,77946.5781,523.0837,35.4585,6.7694,0,6.3783,916.1692,32.152,509866.7812,1724.3563,0,3.2639,4244.2085,94.1399,0,3.6971,0,23.4007,0,48.9912,88.8663,5.6717,220.171,7.7781,14658.0693,107.5187,0,0,0,3.5294,41589.5742,233.2587,4604.3379,698.7848,806.4837,38.3386,0,1.7036,17.5949,0.9814,47.6217,6.7329,619.1631,60.9678,745.1782,7.1485,0,1.8478,159.1116,2.4178,0,0,1890.6597,28.3956,85.332,4.4671,0,1.5953,338819.3125,364.3264,18.6259,3.4826,138.3966,1.1159,0,0,9.166,2.2005,1417.5293,32.2396,0,2.4983,34.6954,7.9461,0,15.0578,31.4368,1.4144,721.5379,11.3929,253.2357,2.192
125,Mining,210.48,29.29,29.88,29.41,113.74,"Thu Nov 4, 2021 - 18:06:13",User,2,ppm,Mining,,,,,,sdar-M2_11,14.6508,1.5575,77809.6875,527.3282,27.9656,6.5376,0,6.4262,911.1158,31.5153,509568.4688,1691.1926,0,3.1194,4256.8042,89.9223,0,3.1356,0,23.6577,0,47.8082,86.6966,5.4526,222.7699,7.559,14674.9219,104.1844,0,0,0,3.4056,41576.6094,223.6976,4743.4814,707.6193,842.4478,37.6906,0,1.6502,17.7563,0.95,43.9408,6.5026,593.8239,61.4114,751.4126,6.9484,0,1.8337,160.0825,2.3474,0,0,1892.278,28.6023,88.2987,4.3935,0,1.5679,339089.75,363.0656,13.7327,3.3925,139.8195,1.0855,0,0,9.3108,2.1234,1431.2723,30.9053,0,2.2881,41.3933,7.7096,0,12.6822,31.1755,1.3707,705.545,10.9209,254.8848,2.1286
126,Mining,209.98,28.85,29.86,29.65,114.44,"Thu Nov 4, 2021 - 18:12:01",User,2,ppm,Mining,,,,,,sdar-M2_12,13.5643,1.5447,77851.8203,529.5337,34.6794,6.5353,0,6.3686,907.167,31.5328,508275.4375,1691.9519,0,3.1807,4219.2402,91.4007,0,3.1705,0,23.6875,0,47.6251,83.0608,5.5016,219.0733,7.4734,14743.1973,103.815,0,0,0,3.4563,41842.3359,227.2088,4799.9819,711.0657,820.0128,37.1617,0,1.6355,18.2609,0.9487,43.8517,6.4632,595.3395,61.5112,749.8682,6.9074,0,1.8076,158.1836,2.3235,0,0,1913.3541,28.7318,88.6448,4.4026,0,1.5658,340028.3438,364.4925,13.4002,3.3959,139.5797,1.0792,0,0,8.2218,2.1253,1378.6857,31.5573,0,2.259,37.642,7.7742,0,12.6245,31.0401,1.3608,730.8915,11.0364,255.144,2.1185
127,Mining,210.24,29.28,29.22,28.7,117.2,"Thu Nov 4, 2021 - 18:15:53",User,2,ppm,Mining,,,,,,sdar-M2_13,14.7474,1.5957,77765.7188,523.2979,30.5916,6.6842,0,6.4077,929.2063,32.3486,507530.2188,1724.2963,0,3.2501,4252.3677,93.3665,0,3.2687,0,23.2293,0,48.7079,84.0634,5.6199,213.6763,7.5976,14703.6064,106.3738,0,0,0,3.5484,41968.0742,231.6065,5420.8081,713.4257,804.3275,37.855,0,1.6702,17.7497,0.9709,47.235,6.6878,611.8799,61.185,750.4212,7.0896,0,1.8255,158.1116,2.3825,0,0,1888.8119,28.2622,88.2296,4.4991,0,1.5649,340144.5625,363.0912,13.9186,3.4744,137.9332,1.1012,0,0,11.774,2.2108,1354.9183,32.3666,0,2.2753,34.852,7.9045,0,13.115,31.9055,1.4005,732.4978,11.3325,257.7017,2.183
128,Mining,211.01,29.42,28.69,29.65,115.42,"Thu Nov 4, 2021 - 18:22:13",User,2,ppm,Mining,,,,,,sdar-M2_14,15.4917,1.584,78030.4062,526.3534,35.7496,6.5278,0,6.248,901.4445,31.7787,507666.4688,1680.0853,0,3.1151,4274.6987,93.4623,0,3.2101,0,23.6245,0,47.5834,88.6905,5.6249,217.8464,7.4434,14642.7305,103.2725,0,0,0,3.448,41828.1836,230.8119,4015.1631,692.2271,829.0248,37.2661,0,1.6453,18.3042,0.946,44.8144,6.5133,576.7318,60.9001,750.5116,6.8926,0,1.844,160.6262,2.329,0,0,1893.4445,28.5687,82.5775,4.4121,0,1.5066,341271.0312,364.0574,15.2514,3.4383,139.6747,1.0771,0,0,10.0277,2.1186,1432.8969,31.8576,0,2.0219,38.3825,7.9075,0,12.7104,30.4921,1.358,733.5831,11.03,255.6712,2.1162
117,Mining,211.37,29.54,28.55,29.27,115.34,"Thu Nov 4, 2021 - 17:09:15",User,2,ppm,Mining,,,,,,sdar-M2_2,15.4994,1.563,77210.9766,524.9727,35.0062,6.7081,0,6.5685,908.3781,31.3884,510013.7188,1719.6926,0,3.1682,4339.4404,92.9368,0,3.1633,0,23.4607,0,49.2844,86.3263,5.594,226.164,7.7599,14664.5166,106.2705,0,0,0,3.4522,41937.5117,230.953,5237.9526,714.9921,832.1181,38.3194,0,1.6841,18.2476,0.9747,42.616,6.7087,611.4924,61.1261,750.4476,7.0884,0,1.8265,159.3327,2.388,0,0,1915.0154,28.531,88.6347,4.3818,0,1.5971,338269.3438,363.9957,15.3809,3.3915,140.9639,1.1122,0,0,9.8341,2.1647,1417.5117,31.8413,0,2.0894,34.2959,7.8461,0,12.7436,32.9811,1.4068,731.7035,11.3273,254.5296,2.1724
118,Mining,210.63,29.7,29.7,29.69,114.75,"Thu Nov 4, 2021 - 17:14:33",User,2,ppm,Mining,,,,,,sdar-M2_3,15.033,1.5589,77250.1016,521.9562,31.5112,6.575,0,6.6537,916.7791,31.4742,511091.3125,1677.5093,0,3.1471,4306.4185,93.8645,0,3.1678,0,23.4658,0,48.3027,83.4731,5.6127,227.2773,7.6366,14630.1924,104.3206,0,0,0,3.3761,41446.7773,232.3021,3975.082,689.5861,837.0806,37.7016,0,1.6573,17.7562,0.9518,39.9492,6.5196,555.2048,60.867,751.3542,6.9676,0,1.8037,157.4327,2.3324,0,0,1932.8721,28.6167,87.3198,4.3813,0,1.5904,339039.875,363.9745,13.7751,3.3883,139.1814,1.0861,0,0,10.1102,2.1411,1401.0237,31.973,0,2.0356,33.8581,7.8814,0,12.7253,30.8824,1.3702,724.2925,11.0796,254.1733,2.1321
119,Mining,211.51,29.46,29.78,29.11,118,"Thu Nov 4, 2021 - 17:19:54",User,2,ppm,Mining,,,,,,sdar-M2_4,13.4532,1.6286,77594.1797,519.9584,31.0403,6.5182,0,6.3696,906.7241,33.2754,508620.6875,1676.9719,0,3.177,4330.5562,92.5375,0,3.3606,0,23.3506,0,47.7209,89.579,5.5935,221.0349,7.4884,14684.1836,103.505,0,0,0,3.3884,41602.75,228.5268,4462.979,693.7303,816.2373,37.0486,0,1.6365,18.1331,0.9469,40.6036,6.4358,585.4299,60.8939,752.7678,6.9107,0,1.8967,159.0983,2.3229,0,0,1885.1176,28.273,87.1353,4.6387,0,1.5718,340482.375,361.4088,15.2209,3.5924,140.3279,1.0802,0,0,9.008,2.1324,1403.4036,31.9655,0,2.0286,35.9957,7.8533,0,18.16,32.342,1.3667,723.4004,10.9729,256.4682,2.1206
120,Mining,210.36,29.29,29.81,29.2,115.98,"Thu Nov 4, 2021 - 17:39:52",User,2,ppm,Mining,,,,,,sdar-M2_6,14.4258,1.5399,76960.4609,520.5264,33.7211,6.4998,0,6.335,919.3158,31.2625,510596.0938,1671.6908,0,3.1902,4303.7866,94.3441,0,3.1303,0,23.3523,0,47.6039,83.8773,5.6578,221.609,7.4895,14674.3027,103.4673,0,0,0,3.3955,42040.793,234.2374,4586.104,699.521,845.5844,37.4906,0,1.6333,17.6167,0.9438,39.9186,6.395,605.8182,61.2486,745.2996,6.8734,0,1.799,157.7339,2.3124,0,0,1907.5034,28.3399,87.6212,4.3499,0,1.5301,338548.5938,363.0125,16.3441,3.3729,139.2573,1.076,0,0,8.1318,2.1237,1401.9249,32.5191,0,2.0224,37.5155,8.0181,0,12.5565,33.7252,1.3687,717.2495,10.9246,255.6932,2.1161
