Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
440,ucsb mining,210.27,0,29.3,28.64,29.94,"Wed Jan 11, 2023 - 17:16:09",User,2,ppm,,,,SdAR_L2,Mining,2.3856,1.4172,75508.1719,543.8605,4.5046,3.2012,0,4.923,660.2649,34.3593,515994.125,3156.6926,0,2.2219,5616.7446,103.0737,0,3.2098,0,25.0249,0,74.0525,84.0798,5.8434,54.0785,4.6717,19328.332,117.5972,0,0,0,3.5043,36545.6875,217.7587,5611.8125,846.7405,562.159,35.5172,5.9738,1.3092,58.7391,1.1977,18.8996,5.9557,500.7283,64.9623,192.5468,3.5986,0,1.7868,125.9299,1.8977,0,0,782.6238,22.5903,9.1889,4.1105,0,1.3694,334332.5938,388.786,14.1744,3.45,141.7083,1.1967,0,0,18.2867,1.5496,2922.7144,38.3299,3.0009,1.7158,53.2554,9.8254,0,9.8372,54.7779,1.3232,197.8254,6.4328,594.7335,3.1111
443,ucsb mining,210.12,0,29.45,29.89,29.6,"Wed Jan 11, 2023 - 17:28:07",User,2,ppm,,,,SdAR_L2,Mining,1.6736,1.4288,73969.2422,545.9023,4.7649,3.2986,0,5.2312,659.4379,34.8633,519300.8438,3223.1204,0,3.9713,5619.8506,101.7786,0,3.2201,0,25.2678,0,57.0818,85.6196,5.7933,56.8138,4.858,19545.0996,120.8392,0,0,0,4.0958,36419.6289,214.2749,5520.9639,855.3358,577.2902,36.7736,6.2016,1.3526,58.8426,1.232,20.2845,6.0904,510.6,66.6885,194.3827,3.7038,0,1.8347,127.2085,1.9614,0,0,741.214,22.6353,5.3861,4.1528,0,1.5986,332500.2812,389.6065,12.3006,3.4957,144.8816,1.2394,0,0,17.3603,1.6149,2978.4185,37.7912,4.5081,1.8081,57.4645,9.7546,0,0,55.6859,1.365,198.6485,6.5838,605.128,3.2143
446,ucsb mining,211.55,0,29.09,29.98,29.76,"Wed Jan 11, 2023 - 17:40:14",User,2,ppm,,,,SdAR_L2,Mining,0,2.8982,77173.7969,557.1352,6.1691,3.2295,0,4.7992,678.8174,34.7432,509227.2812,3246.6472,0,2.1831,5556.0542,100.6073,0,3.1817,0,25.1338,0,55.8138,82.2905,5.6874,53.5532,4.6794,19606.0332,118.4937,0,0,0,4.9046,36428.4336,212.2632,6651.522,874.8154,582.8794,36.002,5.644,1.3255,60.1567,1.2137,17.9655,5.8798,542.6051,66.3631,192.4871,3.6095,0,1.8287,127.6136,1.9191,0,0,720.4893,22.3921,9.0175,4.1392,0,1.3162,338198.4062,389.6457,15.9668,3.488,143.654,1.2086,0,0,20.0396,1.5635,2965.4226,37.1253,3.9246,1.755,63.3859,9.6656,0,11.3248,57.3146,1.3458,192.8564,6.3998,616.1921,3.1747
449,ucsb mining,211.3,0,29.15,28.78,29.72,"Wed Jan 11, 2023 - 17:52:08",User,2,ppm,,,,SdAR_L2,Mining,2.1795,1.4123,79806.8594,552.1215,6.5057,3.2313,0,4.9446,663.8804,34.3653,505420.2188,3250.1284,0,2.5093,5375.853,102.2881,0,3.1474,0,25.1101,0,63.1844,77.6384,5.7823,53.3088,4.7135,19396.1172,119.1705,0,0,0,4.1419,35990.1445,215.7756,4550.25,818.7141,583.2752,36.4408,5.8685,1.3352,58.0287,1.2107,18.6488,5.9759,586.853,66.63,187.9865,3.6055,0,1.8372,127.3964,1.934,0,0,748.1016,22.4199,12.1273,4.1192,0,1.3284,342308.6562,388.1961,12.5099,3.4376,140.2721,1.2061,0,0,19.7577,1.5925,2918.0762,38.1748,3.6208,1.7533,56.8964,9.8192,0,0,56.2677,1.3501,200.6134,6.5209,612.0629,3.1918
379,ucsb mining,210.7,0,29.72,29.84,28.59,"Fri Dec 9, 2022 - 16:47:07",User,2,ppm,,,,SdAR_L2,Mining,0,2.4319,72581.9609,543.078,0,5.6914,0,4.7951,671.4691,35.5257,523965.8125,3090.365,2.1601,1.5399,5295.9229,103.4869,0,3.2736,0,25.9008,0,79.8972,81.2535,5.9319,52.7776,4.601,19661.252,116.6692,0,0,0,3.1544,35503.0898,217.1147,5522.1997,856.6131,588.5058,35.5333,4.8611,1.3088,60.4982,1.1996,21.3923,5.9948,532.903,65.7616,195.924,3.5787,0,1.8883,126.7952,1.8911,0,0,671.2393,22.195,7.8761,4.2331,0,1.3046,330501.4375,391.1483,14.2273,3.5628,144.3383,1.1914,0,0,18.6751,1.649,2840.0342,39.583,5.9732,1.7734,42.1065,9.8859,14.146,6.8798,57.7072,1.3273,187.6948,6.2419,625.803,3.1451
382,ucsb mining,210.67,0,29.75,29.4,29.47,"Fri Dec 9, 2022 - 16:59:13",User,2,ppm,,,,SdAR_L2,Mining,0,2.0903,75783.4531,553.5927,7.6818,3.2432,0,5.1675,649.6437,34.3713,515242.6562,3232.6262,0,2.2606,5721.5815,102.4744,0,3.1835,0,26.3999,0,73.2144,83.6039,5.7728,60.0244,4.8711,19945.4824,120.8868,0,0,0,2.7974,35887.8047,212.7404,6723.0181,878.7986,582.1893,36.4905,4.0868,1.3246,61.2258,1.2337,12.7699,5.9012,633.3472,68.4258,186.2628,3.6031,0,1.8109,125.5554,1.9305,0,0,657.5326,22.0344,8.5463,4.1181,0,1.355,333675.875,390.9843,9.2702,3.4376,140.2082,1.2104,0,0,19.3173,1.5842,2862.3,37.4916,3.9171,1.7632,67.5733,9.7476,0,0,55.3045,1.3465,190.643,6.4281,599.104,3.1732
385,ucsb mining,211.28,0,29.8,28.9,29.93,"Fri Dec 9, 2022 - 17:11:32",User,2,ppm,,,,SdAR_L2,Mining,0,2.704,76775.125,551.9738,5.9578,3.2745,0,5.1788,659.0464,35.67,512633.2812,3285.5315,0,3.2182,5558.3208,103.5595,0,3.2997,0,25.8971,0,57.4824,84.1246,5.8407,60.2957,4.9675,20086.666,122.963,0,0,0,3.3591,35909.0352,214.8499,6013.8721,858.9703,592.6586,37.3112,5.289,1.3676,60.7804,1.2518,22.4777,6.0441,637.0478,69.3417,186.5688,3.6602,0,1.8708,127.792,1.9808,0,0,727.3176,22.5538,6.3551,4.2555,0,1.4072,335892.8438,390.4329,6.8079,3.5522,140.7609,1.2312,0,0,17.6602,1.6079,2854.0212,38.6185,5.2554,1.8336,45.8481,9.7247,12.6511,7.1694,54.9406,1.369,193.6727,6.5989,623.5552,3.281
388,ucsb mining,210.23,0,29.85,29.49,29.28,"Fri Dec 9, 2022 - 17:23:39",User,2,ppm,,,,SdAR_L2,Mining,0,2.1548,75823.2031,552.8658,4.4932,3.2746,0,4.99,653.694,35.4377,514990.1875,3279.1531,0,2.2551,5357.3022,101.3999,0,3.2444,0,26.4619,0,57.7138,86.873,5.8139,56.4285,4.8847,20002.5137,122.915,0,0,0,3.99,35280.3438,211.4084,6718.2578,876.2168,568.5403,36.7592,5.2554,1.3525,61.4167,1.2588,20.2189,6.0599,641.9134,69.0866,188.3753,3.6799,0,1.8671,124.984,1.9697,0,0,680.3983,22.3306,10.3371,4.2486,0,1.3455,334876.2812,391.0976,13.8154,3.5617,139.9848,1.2294,0,0,20.1471,1.6103,2764.386,38.0237,6.8002,1.8716,55.9521,9.6566,10.6016,7.0931,55.3303,1.3688,190.0504,6.5579,591.8794,3.207
407,ucsb mining,211.64,0,29.16,29.39,29.37,"Fri Dec 9, 2022 - 18:40:56",User,2,ppm,,,,SdAR_L2,Mining,0,2.9607,77548.375,554.9167,5.2652,3.2371,0,5.2035,658.1514,35.3762,512570.3125,3253.7571,0,3.5674,5238.9678,105.3777,0,3.2938,0,26.5125,0,56.9805,90.0711,6.0938,55.0475,4.7785,20027.7715,121.0281,0,0,0,3.3581,34927.9102,218.8688,6338.2334,862.5453,584.0025,36.5464,4.5034,1.3414,61.4021,1.2378,21.7286,6.0175,672.1497,68.9226,188.8026,3.6279,0,1.8672,127.041,1.9435,0,0,713.5245,22.5255,8.7598,4.2316,0,1.372,336247.7188,390.7682,14.7198,3.5585,140.941,1.2141,0,0,18.421,1.6021,2799.5811,39.8718,4.2598,1.7795,56.4867,10.1102,0,0,57.4471,1.3636,195.7102,6.4933,622.7333,3.2321
250,ucsb mining,211.18,0,29.24,28.96,29.99,"Tue Dec 6, 2022 - 18:27:40",User,2,ppm,,,,SdAR_L2,Mining,0,3.1163,77110.6641,544.5563,5.3891,3.183,0,5.0321,668.7407,34.3538,512193,3156.4219,0,2.2159,5333.8706,101.3007,0,3.1727,0,24.9459,0,55.5143,85.9278,5.8633,52.8662,4.6357,19761.8984,118.1231,0,0,2.1779,1.9177,36743.0078,217.1137,5437.7305,837.0113,557.6523,35.2908,7.1696,1.3202,62.1099,1.2133,24.0385,5.9398,440.1922,63.9297,190.0993,3.5677,0,1.7872,127.4349,1.9047,0,0,636.0637,21.5435,7.2106,4.0886,0,2.2634,336577.5938,385.5094,17.3271,3.4599,142.3457,1.1953,0,0,18.8725,1.5512,2879.5251,38.2797,3.633,1.7369,57.0625,9.815,0,0,53.957,1.3159,193.5551,6.3345,608.8837,3.1353
