Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
439,ucsb mining,211.42,0,29.45,29.48,28.53,"Wed Jan 11, 2023 - 17:12:12",User,2,ppm,,,,SdAR_M2,Mining,8.2517,1.5293,79479.8828,548.9092,35.2737,6.3234,0,5.9651,780.9658,35.9128,525878.5,3048.9014,0,3.0982,4397.3901,97.8844,0,3.324,0,24.8616,0,46.9889,89.7204,5.6988,231.9751,7.3393,14480.5215,101.4437,0,0,0,3.9717,43483.5703,228.2897,5960.9736,845.1969,880.184,40.4852,12.1154,1.0879,24.7449,0.929,54.3222,6.3305,524.9525,64.1199,840.9457,6.9578,0,1.8515,159.0284,2.0415,0,0,1718.9795,27.5174,80.9192,4.6023,0,1.6118,318255.5625,379.4431,13.7863,3.5297,136.7665,1.1406,0,0,8.2044,1.9971,1400.6199,32.3381,2.5868,1.6815,46.476,8.0255,17.0528,8.5115,30.5149,1.3411,735.7822,10.7503,229.4166,1.9854
442,ucsb mining,210.89,0,28.99,29.39,29.84,"Wed Jan 11, 2023 - 17:24:13",User,2,ppm,,,,SdAR_M2,Mining,8.389,1.4875,81249.6953,556.0325,30.6068,6.5813,0,6.2686,774.7701,34.8449,521359.375,3214.5811,0,3.2114,4513.4956,97.6819,0,3.215,0,24.7927,0,49.3372,89.5864,5.6566,233.5414,7.7219,14535.1758,106.5941,0,0,0,4.8697,43474.1016,227.2701,6616.0781,858.1864,860.2432,42.0117,12.3587,1.1416,24.7897,0.9753,56.2985,6.6757,539.4263,64.3534,833.0909,7.2679,0,1.7917,157.248,2.1299,0,0,1684.0856,27.3597,75.0437,4.4387,0,1.6741,320271.0625,381.6786,15.6622,3.4341,139.4006,1.2074,0,0,9.8704,2.0954,1408.8588,32.09,2.1129,1.7552,36.3343,7.8599,15.0129,8.8337,31.7797,1.4101,713.2246,11.124,229.2562,2.0847
445,ucsb mining,211.5,0,29.42,29.56,29.01,"Wed Jan 11, 2023 - 17:36:12",User,2,ppm,,,,SdAR_M2,Mining,9.392,1.6023,79589.6172,549.009,36.236,6.5672,0,6.0738,789.4219,37.2958,524566.3125,3172.0928,0,3.2271,4329.7778,97.6189,0,3.4439,0,25.0469,0,48.6144,91.3953,5.7218,228.0431,7.5574,14515.6182,105.1896,0,0,0,6.0643,43746.7188,228.7,6390.7178,850.7202,864.79,41.5817,11.1738,1.1278,24.7948,0.9687,56.0641,6.5762,569.5363,64.902,843.0487,7.2205,0,1.8896,158.9472,2.1264,0,0,1699.2075,27.4203,79.2888,4.7613,0,1.6626,318789.4375,379.8901,15.123,3.6644,137.6729,1.1859,0,0,10.1175,2.0933,1393.8496,32.6592,5.561,1.8243,42.6053,8.0213,17.3722,8.8098,30.4019,1.3907,727.1335,11.0827,230.6286,2.0641
448,ucsb mining,211.7,0,29.74,29.51,29.96,"Wed Jan 11, 2023 - 17:48:12",User,2,ppm,,,,SdAR_M2,Mining,9.5352,1.5258,84419.0781,571.1497,32.6017,6.3236,0,6.0535,779.3772,35.4036,511813.4375,3195.949,0,3.5488,4302.2432,96.0431,0,3.2601,0,25.2611,0,72.8425,99.0167,5.649,234.7093,7.4465,14353.2266,102.2706,0,0,0,4.3882,42759.2031,223.3289,7950.9414,887.1166,856.1143,40.4433,12.2378,1.1018,24.5829,0.9418,51.7668,6.3975,606.3522,65.5691,825.519,6.9705,0,1.8536,154.0398,2.0407,0,0,1710.3507,27.8173,80.3135,4.5333,0,1.6191,326270.7188,385.4759,13.8017,3.4753,135.7708,1.1487,0,0,8.1193,2.0164,1456.6605,31.6827,4.4504,1.7383,41.4422,7.8423,11.7367,8.4358,33.5892,1.3622,717.8449,10.7446,231.2376,2.0123
380,ucsb mining,211.4,0,29.07,29.35,29.24,"Fri Dec 9, 2022 - 16:51:07",User,2,ppm,,,,SdAR_M2,Mining,16.4933,1.641,78246.9922,547.689,33.484,6.3023,0,6.0272,780.1022,35.84,527170.5625,3077.1294,0,3.3617,4495.3711,97.7523,0,3.3027,0,25.1003,0,47.3543,86.2315,5.6171,227.4924,7.3583,14437.3711,102.3056,0,0,0,3.6268,43022.4961,226.6988,6959.6494,864.595,862.952,40.4736,12.6113,1.1101,24.9062,0.944,55.1268,6.4052,511.1542,63.2485,819.1111,6.9419,0,1.8581,156.8573,2.0484,0,0,1664.3434,27.3144,77.1733,4.5711,0,1.867,317724.7188,379.1627,16.1647,3.5362,136.3478,1.1502,0,0,9.2413,2.0208,1380.71,31.8553,2.4738,1.692,39.4294,7.8493,21.7559,8.6754,35.2266,1.3726,730.1884,10.8221,243.2771,2.0539
383,ucsb mining,211.27,0,29.94,28.79,29.33,"Fri Dec 9, 2022 - 17:03:11",User,2,ppm,,,,SdAR_M2,Mining,12.7687,1.5567,81654.5938,554.9837,37.3294,6.1788,0,5.8753,781.1589,35.1122,523040.25,3038.0515,0,3.1753,4277.0161,96.3136,0,3.2034,0,25.1217,0,46.0876,84.575,5.5821,234.9785,7.293,14293.1953,99.8949,0,0,0,4.7556,42630.9141,224.9942,6550.6396,853.6733,850.5516,39.4905,11.8694,1.0836,23.5598,0.916,49.0853,6.1067,527.2596,63.6499,814.5063,6.7834,0,1.8495,152.8954,1.9874,0,0,1652.1696,27.3823,80.9767,4.4957,0,1.6407,319633.4688,379.2024,18.6418,3.4712,135.2594,1.1226,0,0,11.4243,1.9921,1367.4052,31.7073,3.5254,1.6793,40.6181,7.819,17.6617,8.4008,34.8706,1.337,733.2208,10.62,243.6312,2.0136
386,ucsb mining,210.47,0,29.82,29.41,28.66,"Fri Dec 9, 2022 - 17:15:32",User,2,ppm,,,,SdAR_M2,Mining,15.4188,1.6365,79325.6484,552.2343,32.2186,6.2993,0,6.112,742.6226,35.8057,525358.9375,3098.2861,0,4.0116,4204.0942,96.0058,0,3.2857,0,25.5381,0,47.3589,90.66,5.5847,221.5202,7.3284,14396.2705,102.8442,0,0,0,3.5822,42434.4414,223.3218,6537.7275,859.9464,796.2971,39.5322,10.3994,1.1044,23.7062,0.9433,56.884,6.4292,539.8911,64.4575,808.4852,6.9428,0,1.858,152.5131,2.0479,0,0,1627.4396,27.4716,74.9133,4.5875,0,1.8123,319965.8125,380.9452,11.7991,3.5374,134.393,1.1496,0,0,9.2182,2.0308,1357.5571,30.9457,5.9182,1.7771,50.0116,7.792,21.5229,8.7097,32.524,1.3588,723.2638,10.8445,237.8499,2.0465
389,ucsb mining,210.42,0,29.8,29,29.34,"Fri Dec 9, 2022 - 17:27:37",User,2,ppm,,,,SdAR_M2,Mining,12.547,1.5663,80875.9531,560.3181,31.2974,6.429,0,6.251,791.5861,35.4513,522315.5938,3181.0129,0,5.327,4186.7578,98.0803,0,3.2794,0,25.9617,0,47.9694,90.8295,5.6876,234.8605,7.6129,14461.6865,104.5566,0,0,0,3.7357,41984.0781,225.6834,6861.7158,868.3157,840.8209,41.0036,11.7336,1.1373,25.6795,0.9715,57.4399,6.5046,631.3906,66.3727,820.295,7.0925,0,1.8616,152.7026,2.0779,0,0,1697.6813,27.9683,81.2317,4.533,0,1.6457,321240.125,383.9163,15.6724,3.482,136.1093,1.1739,0,0,9.0274,2.0848,1360.8523,32.1148,5.1223,1.7923,36.2993,7.8472,25.5239,8.9177,33.4256,1.3881,720.3618,10.9893,251.5719,2.1274
417,ucsb mining,210.46,0,29.18,29.38,29.6,"Fri Dec 9, 2022 - 19:21:02",User,2,ppm,,,,SdAR_M2,Mining,15.511,1.5855,83045.4766,571.3887,30.1547,6.3845,0,6.3777,786.3599,34.9716,514337.9062,3235.9927,2.8348,2.1779,4108.9683,98.4633,0,3.1773,0,26.9074,0,47.5832,113.0591,5.8733,226.516,7.4443,14175.3877,102.9909,0,0,0,3.6762,42056.8164,225.6351,8107.1479,894.4662,877.8166,41.3918,11.5992,1.1142,23.1357,0.9419,52.2281,6.4103,704.4094,67.1334,822.6851,7.0506,0,1.7635,153.7712,2.0664,0,0,1738.8156,28.3816,77.9458,4.4565,0,1.7188,326058.25,386.5433,13.7221,3.434,135.638,1.1629,0,0,9.712,2.1896,1241.8458,31.8639,4.4923,1.7577,40.4383,7.7864,32.1954,8.9839,31.1238,1.3656,730.2688,10.9734,233.7847,2.0504
249,ucsb mining,211.1,0,28.87,29.85,29.35,"Tue Dec 6, 2022 - 18:23:38",User,2,ppm,,,,SdAR_M2,Mining,9.8942,1.5232,79780.3672,549.1268,32.6635,6.471,0,6.0723,778.6663,35.2244,526348.25,3107.4575,0,3.1816,4027.158,94.3981,0,3.2252,0,24.781,0,47.7334,104.3785,5.6965,232.741,7.5658,14147.2256,103.4216,0,0,0,3.7159,42599.8164,222.5953,4784.397,823.7299,861.1832,41.3418,11.8951,1.139,24.1389,0.9575,52.1318,6.4339,507.8146,62.6412,834.4845,7.1326,0,1.818,154.3045,2.0821,0,0,1566.3848,27.1282,76.9495,4.4922,0,1.6404,320415.5312,381.0486,13.5858,3.461,135.2304,1.1676,0,0,7.999,2.0477,1407.8021,32.2084,5.3666,1.7892,33.5003,7.7943,35.9385,9.0767,31.9237,1.3821,722.2653,10.9765,256.0013,2.1361
