Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
736,ucsb mining,210.3,0,29.49,29.83,29.05,"Wed Feb 1, 2023 - 08:49:48",User,2,ppm,,,,SDC_1,Mining,2.1197,1.4584,86312.8672,656.5104,0,2.1721,0,4.6233,397.7676,33.5283,531901,3319.9812,0,1.9056,7960.2422,127.6169,0,3.3118,0,25.7482,0,76.4315,99.1372,7.1465,24.481,4.1669,38940.6953,153.2221,0,0,0,3.8644,27408.2969,217.3886,13322.5645,1081.345,693.2359,38.3621,0,1.6927,17.3137,0.9509,46.3401,7.4358,822.683,74.3448,27.9455,1.7402,0,1.9104,124.9196,1.97,0,0,698.8958,22.427,0,6.2767,0,1.1741,285447.6875,391.8786,7.4763,3.5016,168.6744,1.3427,0,0,12.5694,1.2984,5060.0659,51.026,5.9719,1.8728,99.5111,13.7013,0,0,35.9853,1.1815,88.8679,5.1022,272.7268,2.2925
741,ucsb mining,210.11,0,29.61,29.46,29.32,"Wed Feb 1, 2023 - 09:09:57",User,2,ppm,,,,SDC_1,Mining,0,2.1727,88425.75,682.3173,0,2.1593,0,4.5238,444.7311,34.1124,520940.5938,3466.8481,0,1.9169,8031.6963,134.4535,0,3.3243,0,25.9947,0,77.1409,97.9116,7.4895,26.1907,4.2393,39500.3477,154.5448,0,0,0,4.7791,27739.3672,228.1284,14653.0498,1125.4806,675.3528,38.3806,0,1.6924,16.7349,0.9505,46.6593,7.4719,789.8929,76.265,24.4532,1.6851,0,1.8889,127.1146,1.988,0,0,725.966,23.0179,0,6.3194,0,1.2476,291820.375,400.7702,10.8635,3.5494,170.1907,1.3564,0,0,10.6931,1.2736,5202.896,53.9198,3.9634,1.8387,100.0684,14.4609,0,11.5002,38.1115,1.2052,96.7759,5.288,280.256,2.3321
752,ucsb mining,210.12,0,29.31,29.91,29.34,"Wed Feb 1, 2023 - 09:53:33",User,2,ppm,,,,SDC_1,Mining,0,3.5832,87584.0625,674.6624,0,2.1464,0,4.9142,412.0695,33.288,530440.1875,3451.3777,0,1.9534,7587.5151,132.6401,0,3.2928,0,25.8337,0,78.3388,84.9947,7.4229,23.4248,4.25,39371.1094,156.953,0,0,0,4.8624,26569.8496,223.8463,13731.7578,1103.229,685.9132,39.1938,0,1.7455,15.5479,0.9605,49.7337,7.6184,899.8214,75.5495,21.9692,1.6715,0,1.8941,126.2275,2.0296,0,0,669.025,22.7356,0,6.1838,0,1.2891,286262.9375,398.3017,12.4315,3.4941,167.7436,1.3712,0,0,12.3143,1.3215,4755.3633,54.6644,6.6841,1.9404,95.991,14.2963,0,0,35.0298,1.2035,94.9798,5.3306,283.245,2.3838
760,ucsb mining,210.48,0,29.35,29.97,28.96,"Wed Feb 1, 2023 - 10:25:24",User,2,ppm,,,,SDC_1,Mining,0,2.9307,88451.6562,676.7148,0,2.1145,0,4.3464,409.0907,34.1064,525154.8125,3387.5654,0,1.8319,7707.0039,130.9246,0,3.3826,0,25.6293,0,76.0433,98.2053,7.3738,23.673,4.1174,39805.1797,152.5305,0,0,0,4.9351,26625.8398,219.9874,14473.4521,1111.707,691.0396,37.9205,1.6536,1.1319,16.5457,0.9396,51.3605,7.4184,884.6605,74.8116,25.7979,1.6858,0,1.9371,127.3155,1.9728,0,0,650.203,22.5126,0,6.3727,0,1.1893,289003.1562,395.987,10.7458,3.5738,169.0233,1.3313,0,0,12.3704,1.2656,5088.7842,53.2101,7.4587,1.8983,107.7795,14.2329,0,13.9048,36.7407,1.1785,93.2079,5.1507,273.2348,2.2726
670,ucsb mining,211.05,0,29.27,29.13,29.26,"Sat Jan 28, 2023 - 15:58:05",User,2,ppm,,,,SDC_1,Mining,0,3.2382,89490.1094,662.404,0,2.232,0,4.6623,383.8374,33.2222,525011.3125,3459.3708,0,1.958,7576.7207,129.7236,0,3.3222,0,24.2084,0,78.6571,104.74,7.3904,29.2955,4.4081,39225.1484,158.1391,0,0,0,3.4887,27868.0586,225.1588,14562.2393,1090.2975,725.2141,40.0744,0,1.7398,16.9193,0.975,47.2449,7.6108,804.6628,73.2665,26.7885,1.7739,0,1.8772,124.7223,2.0284,0,0,603.285,21.7473,0,6.2147,0,1.2953,287471.0625,392.8087,8.146,3.4837,169.4616,1.3854,0,0,11.8407,1.322,5216.4155,53.1924,6.4801,1.9402,114.1272,14.3741,0,11.0469,35.2783,1.2102,93.7005,5.3514,273.233,2.362
676,ucsb mining,211.46,0,28.94,0,29.65,"Sat Jan 28, 2023 - 16:22:27",User,2,ppm,,,,SDC_1,Mining,0,2.1318,90665.4375,676.7793,0,2.2062,0,4.7856,389.6462,33.3574,519537.0625,3485.8796,0,1.9483,7413.856,123.0692,0,3.2934,0,24.8451,0,77.9536,100.9485,6.9836,26.7392,4.2868,38977.8242,156.0539,0,0,0,4.8321,27408.2246,212.2251,15238.1719,1113.356,676.9982,38.7807,0,1.7179,16.4373,0.958,42.8341,7.5561,851.4699,73.4696,27.4327,1.755,0,1.8994,123.2251,1.9914,0,0,574.6534,21.8399,0,6.221,0,1.249,292157.5312,395.2133,0,7.5507,164.2197,1.3495,0,0,10.2341,1.2842,5094.5386,50.3335,5.6802,1.8925,85.9488,13.3116,0,11.8025,35.6646,1.1966,96.0204,5.3286,279.1792,2.3523
681,ucsb mining,210.71,0,29.19,29.59,28.87,"Sat Jan 28, 2023 - 16:42:32",User,2,ppm,,,,SDC_1,Mining,1.6205,1.4513,90787.9062,675.6577,0,2.2042,0,4.628,415.3865,33.6897,517479.2812,3523.23,0,1.9197,7488.1782,131.7823,0,3.3217,0,25.3943,0,79.3206,99.3306,7.4793,24.3309,4.3091,39613.7109,158.8691,0,0,0,5.3983,26833.9082,224.1119,13454.915,1085.8574,712.0259,40.0742,0,1.7411,16.7202,0.9777,52.2306,7.7974,909.8692,74.9933,26.3039,1.7611,0,1.8806,125.0346,2.0403,0,0,590.3192,22.1324,0,6.2642,0,1.2606,295501.9688,400.1216,13.6511,3.5359,169.0779,1.3886,0,0,10.2768,1.2865,5173.3477,54.5244,7.1474,1.9693,86.9716,14.3598,0,17.3906,35.3704,1.2152,96.4129,5.4216,274.6965,2.3739
685,ucsb mining,210.29,0,29.01,28.87,29.61,"Sat Jan 28, 2023 - 16:59:23",User,2,ppm,,,,SDC_1,Mining,0,2.8619,92586.4531,685.4771,0,2.1181,0,4.5974,400.5729,33.5709,515794.0312,3479.2036,0,1.9012,7335.5073,127.2308,0,3.3418,0,25.8615,0,76.0637,98.0453,7.2414,26.2957,4.2222,38726.7266,153.2406,0,0,2.0083,1.9447,27789.0117,219.7883,14344.3691,1102.4812,708.5884,38.6874,0,2.0614,16.687,0.947,51.2246,7.4155,986.5662,77.2922,26.9352,1.7223,0,1.8875,128.6251,1.9999,0,0,713.0261,22.9877,0,6.2681,0,1.2008,294574.7812,397.5387,9.683,3.518,171.1284,1.3548,0,0,10.8615,1.2731,4991.1621,52.4111,6.0718,1.8903,112.2243,13.9818,0,0,36.0514,1.1887,84.2197,5.0364,269.1751,2.2851
696,ucsb mining,210.29,0,29.74,29.27,28.88,"Sat Jan 28, 2023 - 17:46:08",User,2,ppm,,,,SDC_1,Mining,0,2.1752,92850.9297,683.1944,0,2.0964,0,4.7002,393.1873,34.0495,517270.0938,3377.8247,0,1.7663,7423.167,126.5276,0,3.3772,0,25.1546,0,73.96,97.6991,7.1462,18.3932,3.9015,38539.9492,148.8947,0,0,0,4.8412,27536.1055,217.8253,14011.8301,1093.6761,701.767,37.5317,0,1.6348,16.1965,0.9159,48.9697,7.2424,954.0173,77.5365,27.7717,1.6885,0,1.906,123.6826,1.9096,0,0,694.9336,22.8132,0,6.3646,0,1.226,293655.5938,395.6412,7.2395,3.5593,168.5642,1.3071,0,0,11.5359,1.2192,4949.6523,51.3872,5.9028,1.8232,96.3961,13.6473,0,12.6574,36.3979,1.1502,91.6843,5.0313,268.3199,2.2162
718,ucsb mining,210.17,0,29.06,28.74,29.5,"Sat Jan 28, 2023 - 19:16:02",User,2,ppm,,,,SDC_1,Mining,0,2.8436,91693.0547,680.0072,0,2.2296,0,4.6722,406.0729,33.3453,517345.8125,3526.1941,0,1.9624,7445.4336,129.0957,0,3.2868,0,24.9604,0,77.9098,99.8325,7.3254,27.6941,4.3437,39063.3906,156.5557,0,0,0,3.7168,27322.9219,221.4598,14777.2441,1105.1138,674.9547,38.9487,0,1.7196,15.6226,0.9569,53.2645,7.6828,979.8111,77.6474,27.1329,1.7573,0,1.9894,126.1048,2.0234,0,0,643.2081,22.4832,0,6.226,0,1.2222,293584.8125,397.7087,13.0104,3.5062,171.9968,1.3839,0,0,10.9941,1.3054,5024.689,52.7201,6.7516,1.9374,99.2937,14.022,0,13.6798,35.3676,1.2028,85.8063,5.1846,265.6987,2.3168
