Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
143,Mining,210.94,29.46,29.24,29.07,116.68,"Fri Nov 5, 2021 - 11:43:30",User,2,ppm,Mining,,,,,,SIO2_1,0,1.6144,162.052,102.9963,0,0.9795,0,3.5778,27.1256,21.6487,664291.375,998.423,0,1.3335,207.1031,14.0413,0,2.5326,0,19.2838,0,8.0349,0,5.9774,0,4.0071,0,14.9504,0,0,0,1.9705,0,25.2093,0,615.7537,0,21.4954,0,1.0256,0,0.8301,13.2475,4.5558,224.4984,40.8345,0,1.0578,0,1.4725,0,0.6622,0,0,122.3195,15.3869,0,4.7432,0,0.8148,334952.0938,279.5174,0,5.413,0,0.3027,0,0,0,0.9958,0,11.5187,0,1.051,0,2.7971,0,0,0,0.5926,0,4.1437,0,0.6914
151,Mining,211.21,29.89,29.36,29.43,118.09,"Fri Nov 5, 2021 - 12:23:45",User,2,ppm,Mining,,,,,,SIO2_10,0,1.5855,197.0436,103.279,0,0.9773,0,3.6673,52.292,21.3394,660040.75,1035.6638,0,1.4369,198.924,13.8154,0,2.5393,0,19.0768,0,8.4795,0,6.0685,0,4.0548,0,15.6029,0,0,0,2.0625,0,24.7159,0,595.1478,0,22.0095,0,1.0735,0,0.8657,14.0351,4.7767,283.0916,40.7131,0,1.0873,0,1.4418,0,0.7045,0,0,109.8261,15.2606,0,4.6977,0,0.8359,339099.0938,277.9887,4.9422,2.6513,0,0.3187,0,0,0,1.076,0,15.5243,0,1.102,0,2.8129,0,0,0,0.6246,0,4.344,0,0.7256
144,Mining,210.17,29.59,29.46,29.57,115.99,"Fri Nov 5, 2021 - 11:48:59",User,2,ppm,Mining,,,,,,SIO2_2,0,1.5792,252.0866,104.2203,0,0.9808,0,3.5125,40.5826,21.252,663288.25,1024.9547,0,1.3642,199.6918,13.7345,0,2.5344,0,19.2665,0,8.3564,3.2733,2.8321,0,4.204,0,15.3523,0,0,0,2.0138,0,25.4436,0,628.4113,0,22.0957,0,1.0592,0,0.8563,12.6704,4.6751,266.9566,40.56,0,1.0829,0,1.4212,0,0.677,0,0,100.2548,15.3184,0,4.6916,0,0.8013,335836.2812,280.5919,0,6.2228,0,0.3062,0,0,0,1.0287,0,11.9008,0,1.0905,0,2.7908,0,0,0,0.6226,0,4.3436,0,0.7247
145,Mining,210.62,29.7,29.98,29.38,117.41,"Fri Nov 5, 2021 - 11:53:50",User,2,ppm,Mining,,,,,,SIO2_3,0,1.6066,149.016,103.2684,0,0.9359,0,3.4968,42.3822,21.3777,660956.5625,1007.0084,0,1.3249,205.2715,14.3765,0,2.542,0,19.2487,0,7.9532,0,6.611,0,3.8599,0,15.0296,0,0,0,1.8513,0,25.3596,0,634.5101,0,21.3179,0,1.0315,0,0.8294,16.8539,4.6334,298.9939,40.7838,0,1.0534,0,1.4387,0,0.6735,0,0,113.7111,15.4036,0,4.7188,0,0.7858,338217.1875,279.6829,0,3.9645,0,0.3011,0,0,0,1.0123,0,12.5416,0,1.083,0,2.905,0,0,0,0.5981,0,4.2274,0,0.6916
146,Mining,211.35,29.27,29.93,29.58,115.93,"Fri Nov 5, 2021 - 12:00:09",User,2,ppm,Mining,,,,,,SIO2_5,0,1.5927,146.4026,103.3945,0,0.9825,0,3.6194,46.867,21.3556,660883.1875,1022.4717,0,1.429,209.381,13.9732,0,2.5268,0,19.2601,0,8.0551,5.3433,2.8734,0,4.0366,0,15.1638,0,0,0,2.0581,0,24.2898,0,593.4705,0,21.8065,0,1.0657,0,0.8564,12.9301,4.6693,260.4626,41.1213,0,1.0719,0,1.4589,0,0.7014,0,0,95.1107,15.2684,0,4.7212,0,0.8179,338325.5625,279.489,0,6.1869,0,0.3076,0,0,0,1.0602,14.7389,6.1461,0,1.085,0,2.7167,0,0,0,0.6073,0,4.3543,0,0.7118
147,Mining,210.6,29.19,29.17,29.48,116.7,"Fri Nov 5, 2021 - 12:03:56",User,2,ppm,Mining,,,,,,SIO2_6,0,1.5988,288.2209,104.7554,0,0.9801,0,3.6766,53.6667,21.3061,659513,1020.9709,0,1.4089,197.1213,13.9899,0,2.5181,0,19.2143,0,8.3395,0,7.1795,0,4.0397,0,15.1994,0,0,0,1.9589,0,25.7008,0,614.5615,0,20.9628,0,1.0617,0,0.8466,12.7907,4.6261,255.1067,41.0049,0,1.0852,0,1.4168,0,0.6859,0,0,122.4192,15.444,0,4.7009,0,0.8504,339545.0625,279.5097,0,6.4454,0,0.3017,0,0,0,1.0438,12.4714,6.2333,0,1.0988,0,2.8902,0,0,0,0.613,0,4.1912,0,0.7019
148,Mining,210.43,29.43,29.12,29.08,117.03,"Fri Nov 5, 2021 - 12:07:49",User,2,ppm,Mining,,,,,,SIO2_7,0,1.6093,319.9667,104.5953,0,0.9761,0,3.5312,49.3838,21.2595,660031.6875,1021.499,0,1.3242,203.5654,14.1485,0,2.5298,0,19.0682,0,8.3675,4.397,2.9081,0,3.915,0,15.4229,0,0,0,1.9578,0,25.2885,0,612.7657,0,21.4267,0,1.054,0,0.8532,12.5984,4.6357,271.6146,41.0806,0,1.0752,0,1.4283,0,0.6761,0,0,113.8698,15.3078,0,5.755,0,0.818,338988.125,278.6279,4.8221,2.644,0,0.3003,0,0,0,1.0299,0,10.3174,0,1.0608,0,2.8822,0,0,0,0.6201,0,4.2635,0,0.7155
149,Mining,211.13,29.64,29.35,29.43,117.3,"Fri Nov 5, 2021 - 12:11:43",User,2,ppm,Mining,,,,,,SIO2_8,0,1.6107,279.0948,105.2577,0,0.9662,0,3.5735,33.6502,21.3672,657192.9375,1023.3426,0,1.363,202.3689,14.0089,0,2.5283,0,19.3485,0,8.3492,5.6268,2.9146,0,4.0519,0,14.9377,0,0,0,1.9355,0,24.864,0,631.9099,0,22.3437,0,1.0423,0,0.8364,14.3631,4.6368,262.4674,41.5096,0,1.0831,0,1.4282,0,0.6768,0,0,128.4301,15.5492,0,4.7277,0,0.8402,341881.0938,280.4241,0,3.9707,0,0.3021,0,0,0,1.0315,0,15.5066,0,1.0873,0,2.8418,0,0,0,0.6097,0,4.1702,0,0.7156
150,Mining,211.28,29.61,28.91,29.39,115.53,"Fri Nov 5, 2021 - 12:17:08",User,2,ppm,Mining,,,,,,SIO2_9,0,1.6025,268.5244,105.1713,0,0.9369,0,3.4437,55.3825,21.389,658256,1001.3654,0,1.3489,208.5251,14.034,0,2.5431,0,19.4087,0,7.8868,4.4681,2.9019,0,3.9481,0,14.6829,0,0,0,1.9534,0,25.2458,0,609.4515,0,21.2926,0,1.0276,0,0.8267,17.563,4.6163,281.3895,41.5972,0,1.0573,0,1.4298,0,0.6619,0,0,114.8742,15.4747,0,4.7209,0,0.8041,340793.1562,280.4866,0,5.6905,0,0.2954,0,0,0,1.0316,0,11.5041,0,1.048,0,2.8549,0,0,0,0.5862,0,4.1665,0,0.6926
99,Mining,73.29,29.63,29.8,11.31,,"Thu Nov 4, 2021 - 10:48:51",User,2,ppm,Mining,,,,,,sio2-1,0,3.1921,,,0,1.122,0,4.1752,51.4743,42.9854,999703.0625,55.6808,0,1.561,214.9392,15.3648,0,4.9971,,,0,9.7757,20.6555,3.4379,0,4.5595,0,16.8176,0,0,0,2.3131,0,27.4431,,,0,25.1189,0,1.1954,0,0.9682,0,6.6753,,,0,1.2294,0,2.878,0,0.7797,0,0,,,0,9.4746,0,0.9784,,,0,9.8452,0,0.3562,0,0,0,1.1529,9.7952,7.3555,0,1.2901,0,3.12,0,0,0,0.695,0,4.6588,0,0.8064
