,Name,Ag_corrected,Ag 2-Sigma_corrected,Al_corrected,Al 2-Sigma_corrected,As_corrected,As 2-Sigma_corrected,Au_corrected,Au 2-Sigma_corrected,Ba_corrected,Ba 2-Sigma_corrected,Bal_corrected,Bal 2-Sigma_corrected,Bi_corrected,Bi 2-Sigma_corrected,Ca_corrected,Ca 2-Sigma_corrected,Cd_corrected,Cd 2-Sigma_corrected,Cl_corrected,Cl 2-Sigma_corrected,Co_corrected,Co 2-Sigma_corrected,Cr_corrected,Cr 2-Sigma_corrected,Cu_corrected,Cu 2-Sigma_corrected,Fe_corrected,Fe 2-Sigma_corrected,Hf_corrected,Hf 2-Sigma_corrected,Hg_corrected,Hg 2-Sigma_corrected,K_corrected,K 2-Sigma_corrected,Mg_corrected,Mg 2-Sigma_corrected,Mn_corrected,Mn 2-Sigma_corrected,Mo_corrected,Mo 2-Sigma_corrected,Nb_corrected,Nb 2-Sigma_corrected,Ni_corrected,Ni 2-Sigma_corrected,P_corrected,P 2-Sigma_corrected,Pd_corrected,Pb 2-Sigma_corrected,Pb_corrected,Pd_corrected,Rb_corrected,Rb 2-Sigma_corrected,Re_corrected,Re 2-Sigma_corrected,S_corrected,S 2-Sigma_corrected,Sb_corrected,Sb 2-Sigma_corrected,Se_corrected,Se 2-Sigma_corrected,Si_corrected,Si 2-Sigma_corrected,Sn_corrected,Sn 2-Sigma_corrected,Sr_corrected,Sr 2-Sigma_corrected,Ta_corrected,Ta 2-Sigma_corrected,Th_corrected,Th 2-Sigma_corrected,Ti_corrected,Ti 2-Sigma_corrected,U_corrected,U 2-Sigma_corrected,V_corrected,V 2-Sigma_corrected,W_corrected,W 2-Sigma_corrected,Y_corrected,Y 2-Sigma_corrected,Zn_corrected,Zn 2-Sigma_corrected,Zr_corrected,Zr 2-Sigma_corrected
0,MAG1,0.0,3.3569565849218233,78633.2109,5124.78845754556,2.5107,3.3456318344773384,4.9176,4.429827165851401,506.4943461382708,43.5073935630111,0.0,17822.1848410698,0.0,2.815692946134922,9241.632569735155,544.7905056173057,0.0,3.3814,32023.95770769428,1241.8467618333823,0.0,75.196,113.7566,13.967658713243644,31.80302937917262,7.334012678496985,49235.52435394228,532.5114019441078,0,0.0,0.0,3.518248582600241,30428.557910147563,1264.8016578451125,14277.788087614725,2589.8480634284597,692.5198156404789,49.159095210670145,1.4906107721039232,1.8023595229441336,12.40020980603546,1.741670962035426,50.36782389231756,11.768759057244337,610.9232,166.35005242146912,0.0,1.7091,23.486220481863434,5.819233674377777,161.06933531555995,3.8522502806999377,0.0,0.0,3779.940641340123,145.7744710816723,0.0,8.007943427523598,0.0,1.3318,235951.05929847728,11372.46947582683,0.0,11.336746385526684,127.9251,2.971060874460216,0,0.0,15.5448,2.6232405648705894,4513.038838840868,171.848119563207,3.9062,2.8593740818491558,149.8932277358307,18.826609021089332,0.0,17.474851511433123,27.524582358658975,2.488823791446948,126.53517552338494,10.863998112382019,128.6520660673909,14.903135431022031
1,MAG1,0.0,3.3626006933696413,82622.0391,5126.827165538916,4.5533,3.3551246477393653,6.5151,4.468503117299466,521.2369163118092,43.22433275756538,0.0,17836.1345550099,0.0,2.7715323950684674,9337.710255816624,544.599861176249,0.0,3.3488,33069.81013382073,1241.933879422092,0.0,75.1575,108.4199,13.91108843475776,27.867521912514263,7.268948923218165,49172.92457831178,532.3615224032623,0,0.0,0.0,3.3019932433257044,30265.32920001519,1264.3167540348047,16572.078303221006,2603.497216680873,686.968715203054,48.914355630037,1.4906107721039232,1.9784242846132385,12.021460974376385,1.7370376823769271,53.45618366931078,11.866880459390776,558.1741,166.0453300180873,0.0,1.6782,22.392893903373867,5.819233674377777,157.26049449743437,3.828284385354979,0.0,0.0,3988.0192478664794,145.79433234478392,0.0,7.920887992417161,0.0,1.4114,240191.19450051404,11372.505781499833,11.2688,7.750064503586555,127.4661,2.968000997262013,0,0.0,16.0843,2.6124585549215067,4412.439555354326,171.85126745639755,4.0034,2.8501225991088006,142.73859095952076,18.708194816255315,0.0,17.474851511433123,27.37997414371278,2.4817066657589413,124.69431726716975,10.8347819699263,128.09708429609137,14.901918493784088
2,MAG1,0.0,3.3665658218799157,83995.2812,5127.565223927953,0.0,4.762546272937219,5.5081,4.462951121098577,495.0178443756144,43.44418308918628,0.0,17850.414196926162,0.0,2.7558802961874007,10238.724638210735,545.7839585634133,0.0,3.3546,33365.20564632978,1241.98753016151,0.0,106.1887,114.9535,14.04268993176347,24.073416697460477,7.25610792700567,48967.841504408425,533.1902133029816,0,0.0,0.0,3.4917525870211086,31429.474631605226,1266.0691899009569,17208.54947757668,2607.60769711778,721.3080736708337,50.040643240287515,1.4906107721039232,1.8150396689734922,13.415491221176614,1.7490197082930214,48.9914051578145,12.002749261626297,527.1625,165.92362240834038,0.0,1.8194,28.657548153659327,5.819233674377777,162.10951981987319,3.873550627673885,0.0,0.0,4082.405672692689,145.80206109740462,0.0,7.981458299610314,0.0,1.31,241886.76022429095,11372.587101829902,0.0,10.042907318588194,127.4784,2.9760335968782847,0,0.0,17.0377,2.6286791019792752,4617.275682344809,172.095071242788,3.8199,2.8709618144361837,166.747472266101,19.12909983044059,0.0,17.474851511433123,26.025678786056254,2.4902751925986735,131.3672162677276,10.926428388812148,129.68239736317238,14.905820584100166
3,MAG1,0.0,3.3538481887303715,84941.0625,5128.112825402338,3.8684,3.3719668091290873,0.0,5.728450354966433,497.8320511664553,43.26856209081531,0.0,17858.236913796864,0.0,2.7475464048699805,10081.600956462953,544.5446885888795,0.0,3.3754,33524.93713188716,1241.9756850918368,0.0,84.7551,117.4278,13.896423206338065,21.921017333036023,7.237550141336122,49280.996600955565,533.3938500565122,0,0.0,0.0,3.0437960721718214,31234.820115632407,1264.4509546008912,17701.94019961503,2610.559892302826,698.1063537784069,49.649431246004546,1.4906107721039232,1.8951780602221535,11.712098754939255,1.7442276198929445,53.47737357789573,12.054356467164501,589.8574,166.29197920770417,0.0,1.7421,23.550741775501056,5.819233674377777,159.89257457871707,3.866521280835365,0.0,0.0,4165.4953453057315,145.8470091358109,0.0,7.957119882119306,0.0,0.8845,243492.98062912334,11372.554553573329,6.2884,7.74913756554575,130.0076,2.9817972650313274,0,0.0,16.4931,2.62078822135299,4624.478180860544,171.54823171904246,3.5159,2.8655898991221167,158.977139961487,18.728368052581683,0.0,17.474851511433123,26.660760708339822,2.491685978383384,131.54512770708172,10.935471408944384,129.54095338512926,14.906528041277225
4,SDAR-L2,0.0,3.9043383451040703,76846.0,5113.006606180927,7.1126,4.4512641083031905,0.0,5.790613821462716,860.6067536956193,44.234609756804,0.0,17852.956997579215,0.0,3.2739923483285596,7662.247089131587,539.4171718984386,0.0,3.2552,15.705342365998147,1239.1077535350214,0.0,58.0801,84.8086,13.056709472131603,57.60991725801749,7.739189648687679,25031.029820859323,524.7505921746816,0,0.0,0.0,5.546494729012966,34977.0177788025,1260.3555015778268,445.2591156582721,2403.5267262312127,653.5990198707855,49.83325109695064,6.355596810103094,1.6999089651941377,63.67409299561599,1.957404694997283,17.110863828518497,11.077889655862737,609.8632,166.42225734695322,0.0,3.6846,181.5418827961583,5.819233674377777,123.43169983510616,3.7064155480939736,0.0,0.0,-409.3498790031647,143.40231891504163,10.9907,6.2947412550809725,0.0,1.3771,348179.3700848339,11373.739731330967,19.2515,7.727792561899699,139.7766,3.006041964069747,0,0.0,19.0717,2.772550686855439,3489.7733214828513,169.25204610775103,3.4515,2.8766601710926345,39.1832652741193,16.313681469029675,0.0,22.174581074659258,53.9543555730367,2.6142209288566947,206.67446570964202,11.522895692309293,605.8700970670118,15.15896441038715
5,SDAR-L2,0.0,3.4960140035546186,77535.2734,5114.001477758938,6.1761,4.387710127374892,0.0,5.917372534268486,830.6844402232535,43.689770286037664,0.0,17850.73984556158,0.0,2.9775501753814253,7808.827385054476,539.1638854062461,0.0,3.1932,15.705342365998147,1239.1156477104337,0.0,58.5442,80.7909,13.021122114458919,56.45011028085653,7.666301847589522,24966.002141482022,524.1985807414582,0,0.0,0.0,3.4027880229259955,34935.40329185831,1259.8443165252386,1287.3884350682938,2411.6319338083604,667.4562941693878,49.70299620074964,5.598138649039924,1.6788707752377503,64.04882413611354,1.945410884619855,15.762204799585245,10.992113637852851,607.9224,166.8168707592416,0.0,3.6015,179.83064452882866,5.819233674377777,124.2971805753085,3.694346764335036,0.0,0.0,-379.23133668039895,143.44957497441848,8.0147,6.247133052722535,0.0,1.7058,350116.0995231516,11373.792644470117,13.2187,7.693231120910921,141.6575,2.999864178550139,0,0.0,19.9585,2.7356639324271113,3481.3858602341757,169.27026844682527,4.683,2.874614108006621,32.462523219258685,16.25504404432551,0.0,17.474851511433123,54.494818250389876,2.6041693521874416,202.98129157321029,11.413140646458364,608.3134425019771,15.148264225494096
6,SDAR-L2,0.0,4.135574648467851,78473.5234,5114.448347440349,5.4597,4.383304707850939,0.0,5.763967611751045,854.0819067193991,43.53894089946078,0.0,17857.312223985326,0.0,4.354550861674939,7689.655276071254,539.2851566668506,0.0,3.1985,15.705342365998147,1239.1122590617435,0.0,57.0406,76.8427,13.005886356940502,60.623584882215226,7.72314885641566,24999.600418159793,524.2321636571235,0,0.0,0.0,3.7480015913775446,35120.767173622604,1260.1684968599616,2436.3518139371936,2418.1767508023586,633.0857293683293,48.971526359525825,6.170327600750431,1.6780859572582698,62.02303910072601,1.9383553827916609,17.195530930506415,11.0233156716784,590.8197,166.58653161121856,0.0,3.6018,179.81286925615225,5.819233674377777,122.73295591211713,3.685077982234942,0.0,0.0,-385.54000477579416,143.43755058634858,9.7289,6.226100110696772,0.0,1.3505,351048.48598542257,11373.813822290524,18.5775,7.6889978228474165,140.417,2.9980878789235486,0,0.0,18.1166,2.7599131057304263,3530.3593487465037,169.1675176457061,3.6629,2.8571025515285067,43.41190638108232,16.295770651091104,9.8875,18.794502127926574,55.31584689268631,2.6061197161435925,195.15753789518462,11.38128636033028,602.7304277142213,15.145826485384818
7,SDAR-M2,16.8071,3.031429593945733,82323.4375,5115.77035646835,31.8537,7.020934533370054,0.0,6.745449389723049,945.5801310512792,44.33779887282114,0.0,17843.300571126834,0.0,3.7113451223126575,5851.505900542312,538.3304897582893,0.0,3.2502,15.705342365998147,1239.100082751695,0.0,47.0187,76.0446,12.934681738630104,238.43090025189207,9.56833972057611,18451.10234726719,520.2814617090532,0,0.0,0.0,3.8605562421714055,40698.29382482612,1262.153894115062,3799.323206463796,2426.313726458337,880.912147403766,52.877419607066045,12.43413623238201,1.5162653065830545,23.18923078218627,1.775921490381094,53.21504436026103,11.246619409736894,543.5518,164.4652244505674,0.0,7.0151,812.1451163271819,5.819233674377777,144.279848330397,3.757182506234259,0.0,0.0,1165.9812975862303,144.36694834435377,80.7541,6.530811143220907,0.0,1.6766,339582.22077751963,11373.672782737798,14.7748,7.705713628195141,137.3464,2.9782071065908604,0,0.0,10.719,3.025484804321874,1950.2681178302062,168.0718234973676,5.0288,2.860172895115032,25.94064457176404,15.34506847697208,19.7022,19.485379324935824,38.599627182743774,2.6199901936595795,752.4922274398918,14.284728053968688,239.76898884422428,14.95439267490941
8,SDAR-M2,14.5879,3.013776314368734,82293.9297,5115.438579980391,31.1656,7.116528760699854,0.0,7.036288373802984,972.0102820972452,44.406162768885345,0.0,17853.549954188493,0.0,3.7829948251238665,5844.486483211613,538.3809457794357,0.0,3.2542,15.705342365998147,1239.0984247963709,0.0,47.9539,80.7785,12.954508208328523,242.81437005163372,9.725149790535594,18384.313494187547,520.651918344213,0,0.0,3.1155,2.869903156722994,40945.48023804944,1262.3629366000473,3298.1703728175635,2421.9811020745274,848.8489622621097,52.91245451547048,12.33469091433928,1.5306582407406966,23.189665127176703,1.7855456056895904,47.93996004318201,11.252789382080811,563.003,164.47651741834005,0.0,7.1337,806.5059356220685,5.819233674377777,144.46180770686095,3.779686387142821,0.0,0.0,1105.8272939019096,144.34252374300965,77.6212,6.512184901276865,0.0,1.7375,340084.3517734543,11373.65863759827,10.9175,7.6935016422791715,136.5369,2.98620032311101,0,0.0,10.9154,3.0577131162328763,1988.9162744393132,168.04640101832078,4.0393,2.8774047716563453,21.587518576564676,15.328316768744122,12.4817,19.494146899945033,38.765057755797635,2.6344833525517597,753.0237338866207,14.450346341380197,238.1117827256685,14.95894652157645
9,M1801-2.9,0.0,3.258780089703813,21124.3418,5094.6478759848305,3.9989,3.1800011009224822,0.0,5.291123426014087,254.2852749878729,40.02484922066215,0.0,17735.99892446941,0.0,2.6970118959533633,124937.4772932603,597.317561531184,10.0762,2.2275,15458.43857458037,1240.2469702353671,0.0,35.2392,54.6373,12.785463227026666,15.022849890758746,7.060433149485555,10809.281365391425,516.1153565935421,0,0.0,0.0,2.781209625139501,10656.282583209068,1246.6429698743002,4949.061996287412,2496.3678755079213,272.52752798528525,40.001220089538926,8.472437747526577,1.4197696749640079,-2.213870328378704,2.361568883178597,69.5230385913571,11.30309101075766,1235.3425,173.017292053296,0.0,1.1478,1.7328221392722796,5.819233674377777,60.56814967260456,3.3850976684805936,0.0,0.0,14828.783783276565,151.5625742096686,0.0,7.517322519914812,0.0,0.8223,277899.62748753047,11372.808850177333,0.0,9.083421390629873,476.9652,3.4487173035417533,0,0.0,2.5088,2.446313083230061,1417.8921893621377,166.4359337294092,11.6182,3.11461786098242,92.07240033321604,14.939959908679883,0.0,17.474851511433123,23.504795504860773,2.3652936846980253,82.97424387229272,10.508350052022442,39.610688848571456,14.884440237892193
10,M1801-2.9,0.0,3.340424750394775,21370.5078,5094.805489507465,3.8233,3.1645399226219597,0.0,5.00788253349807,259.99300644121615,39.90622626416509,0.0,17727.97689986984,0.0,2.665098958184096,124907.73473917613,597.727187747646,9.5435,2.2088,15422.598094923393,1240.2514555745772,0.0,33.8851,53.7259,12.78744674435249,11.157375102895088,6.9365638192374846,10760.14930793513,515.6671769547768,0,0.0,0.0,2.7908666125360786,10579.620925382147,1246.641147724964,5189.103981929373,2498.9058817370556,277.6251165284268,39.67303173506825,8.633045942467572,1.394517723066797,-1.010734704874532,1.670358018509028,60.76105765765429,11.053164869279325,1273.4938,173.71388488332047,0.0,1.1121,1.5640061518094601,5.819233674377777,61.89564219941118,3.3706210607472253,0.0,0.0,14857.144396989004,151.62856031794047,0.0,7.532808747633141,0.0,0.7981,278939.7059837752,11372.84424591976,0.0,10.452819667905512,480.2977,3.407830412410263,0,0.0,3.5877,2.4423667663114332,1419.9160819350986,166.4506353414738,9.3437,3.036681219678928,83.20513507038805,14.904965234208438,0.0,17.474851511433123,22.520785978699625,2.3535116283699047,81.54617834745912,10.426954925376826,39.681054427281175,14.880217735147031
